input feature,output_feature,tau,p-value
#operators (avg),BD50,-0.08539598901389327,0.03643988815408212
#operators (avg),ABU50,0.058587176388051,0.15121960320180935
#parenthesis (avg),PBU,-0.08020756845643759,0.04142033676880025
#parenthesis (avg),BD50,0.006794995015149829,0.8628365770970794
#parenthesis (avg),ABU50,-0.079163321107416,0.044141217282841504
#periods (avg),PBU,-0.08673311293708384,0.026967070830173544
#periods (avg),BD50,-0.015654806544641308,0.6897077750094249
#periods (avg),ABU50,-0.0674228278804758,0.08552061667938954
#spaces (avg),PBU,0.011074754956799548,0.7774317024236743
#spaces (avg),BD50,0.033942248164591356,0.3863102451123841
#spaces (avg),ABU50,-0.01663865605386357,0.671071215339915
Identifiers length (max),PBU,-0.04937907804932463,0.21767816455213562
Identifiers length (max),BD50,0.04897073490493061,0.22150670490072777
Identifiers length (max),ABU50,-0.0841358139733168,0.03569268185336404
Indentation length (max),PBU,0.0034283788390661513,0.9339443501964887
Indentation length (max),BD50,0.022017407255147992,0.594528566146904
Indentation length (max),ABU50,-0.014248188732856248,0.7305009829169462
#keywords (max),PBU,-0.021662620989531926,0.6200473842055206
#keywords (max),BD50,-0.03849584648745214,0.3782972176212178
#keywords (max),ABU50,0.010496725763772216,0.8101487811980208
Line length (max),PBU,-0.1266173762996924,0.0013297572049076588
Line length (max),BD50,-0.04914012984781,0.21291239896436476
Line length (max),ABU50,-0.07765066272739328,0.04903607638255724
#identifiers (max),PBU,-0.02830521816678357,0.48994912787166933
#identifiers (max),BD50,-0.011305120166872915,0.7827461938936189
#identifiers (max),ABU50,-0.0171059150137208,0.6765111651627294
#numbers (max),PBU,0.01858020138591396,0.6621895770094001
#numbers (max),BD50,-0.04819366745400226,0.25712236560272006
#numbers (max),ABU50,0.055186025349192556,0.19441240541747173
#characters (max),PBU,-0.03539479235842044,0.3666702566350609
#characters (max),BD50,0.050283902011321366,0.19967853142283531
#characters (max),ABU50,-0.07230789884733509,0.06515691683110936
#words (max),PBU,-0.03335226972997558,0.4021687220606035
#words (max),BD50,-0.09031774099080492,0.02329062715476685
#words (max),ABU50,0.04070158440730322,0.30661196360023013
Entropy,PBU,-0.038454447865643955,0.3263483650396678
Entropy,BD50,-0.04157054380828126,0.2886764303787579
Entropy,ABU50,-0.0025218868931814126,0.9486775162459863
Volume,PBU,-0.05203401937739532,0.18414668077115315
Volume,BD50,0.003282367596683875,0.9332330873058389
Volume,ABU50,-0.05046672506929701,0.19771388692246994
LOC,PBU,-0.01813907888868675,0.6484715060238423
LOC,BD50,0.02452731115419962,0.5376034554464624
LOC,ABU50,-0.03607450060587105,0.36458938796882956
#assignments (dft),PBU,-0.002557670893801884,0.9486306297774454
#assignments (dft),BD50,0.034218564997435454,0.3887154725291013
#assignments (dft),ABU50,-0.02939916720852715,0.45896579560727857
#commas (dft),PBU,-0.004757934380484204,0.904487968221567
#commas (dft),BD50,0.04750271349936621,0.23091446576171737
#commas (dft),ABU50,-0.041923130831460174,0.29037885697261767
#comments (dft),PBU,-0.027937739014684843,0.4818146818334379
#comments (dft),BD50,0.0281080477937205,0.47914727200753215
#comments (dft),ABU50,-0.04791965306940737,0.22763616549314436
#comparisons (dft),PBU,-0.0652382372143556,0.10856938995985706
#comparisons (dft),BD50,0.05756133875021098,0.15682559427803375
#comparisons (dft),ABU50,-0.1055165060795099,0.009448746255635226
#conditionals (dft),PBU,-0.08640299094354123,0.0333894682004928
#conditionals (dft),BD50,0.10455580037434416,0.01004380714166575
#conditionals (dft),ABU50,-0.16213253095079733,6.553463219027719e-05
Indentation length (dft),PBU,0.044241104594238044,0.26892176690477954
Indentation length (dft),BD50,0.01566153465823584,0.6955245465911521
Indentation length (dft),ABU50,0.028323986672633784,0.47907365257802914
#keywords (dft),PBU,0.027597804115453033,0.4862332744722204
#keywords (dft),BD50,0.014706488621043809,0.7105964145055298
#keywords (dft),ABU50,0.013766667353875574,0.7283337676269472
Line length (dft),PBU,-0.05929049350088809,0.13443763862738572
Line length (dft),BD50,0.06825366817498903,0.08486845480866434
Line length (dft),ABU50,-0.10849558382042382,0.006161776072433587
#loops (dft),PBU,-0.042720042492606254,0.3303285716953378
#loops (dft),BD50,0.027121286210253212,0.5365708431254077
#loops (dft),ABU50,-0.06073974910234592,0.16633904737250427
#identifiers (dft),PBU,-0.02443808622997037,0.5367269161135304
#identifiers (dft),BD50,0.04475394596464942,0.25791435932820583
#identifiers (dft),ABU50,-0.05785667406632592,0.14358832912147765
#numbers (dft),PBU,-0.050294340434372684,0.2228155660944371
#numbers (dft),BD50,-0.04605907765106323,0.26424339906908756
#numbers (dft),ABU50,-0.009867133799860855,0.8109755689945226
#operators (dft),PBU,-0.013619008040784721,0.7400558847566566
#operators (dft),BD50,-0.028860388518000952,0.4820045903092268
#operators (dft),ABU50,0.010281232952408806,0.8022268683913832
#parenthesis (dft),PBU,0.010611953648864102,0.7889547847670006
#parenthesis (dft),BD50,0.04038207433121864,0.30840819888253723
#parenthesis (dft),ABU50,-0.022154425597013597,0.576293467077723
#periods (dft),PBU,0.003240385226002424,0.9348692679013167
#periods (dft),BD50,0.007376434616924867,0.8524226012187174
#periods (dft),ABU50,-0.002849048818989986,0.9427205517986456
#spaces (dft),PBU,0.06988814031316239,0.07855009321118919
#spaces (dft),BD50,0.03894307781334486,0.32696759463376557
#spaces (dft),ABU50,0.03351825809703082,0.3988418430516648
Comments (Visual X),PBU,-0.11063271297577545,0.006583964615299773
Comments (Visual X),BD50,0.03953259670742593,0.33157958944194865
Comments (Visual X),ABU50,-0.1330305977896514,0.0010858347415475106
Comments (Visual Y),PBU,-0.04505805566454287,0.26698517670910005
Comments (Visual Y),BD50,0.014709339273113953,0.7170730386866149
Comments (Visual Y),ABU50,-0.053080474091045965,0.19098552922687584
Identifiers (Visual X),PBU,-0.08647130861717314,0.02730997334427728
Identifiers (Visual X),BD50,0.00845347185514674,0.8291725099683835
Identifiers (Visual X),ABU50,-0.0862369368645368,0.027730610013662397
Identifiers (Visual Y),PBU,-0.021346078188425873,0.5858713980385
Identifiers (Visual Y),BD50,0.02532374106715325,0.5180508612936521
Identifiers (Visual Y),ABU50,-0.039654497354852554,0.31147816988792887
Keywords (Visual X),PBU,-0.08896202627267864,0.02321779174581496
Keywords (Visual X),BD50,0.007887957473801529,0.8404966919098129
Keywords (Visual X),ABU50,-0.088081470770212,0.024616726317129044
Keywords (Visual Y),PBU,-0.01731316599932106,0.6585657657789705
Keywords (Visual Y),BD50,0.019529170337811885,0.6181636640030193
Keywords (Visual Y),ABU50,-0.031364156533589524,0.4234061249348394
Numbers (Visual X),PBU,-0.10646908792782929,0.012891601562945504
Numbers (Visual X),BD50,-0.04653480789990746,0.2770844343638611
Numbers (Visual X),ABU50,-0.061173046095533985,0.15306434625263998
Numbers (Visual Y),PBU,-0.04622650018129442,0.280279695365127
Numbers (Visual Y),BD50,-0.02557756424712253,0.5502380305525896
Numbers (Visual Y),ABU50,-0.022313047661810026,0.602258340693069
Strings (Visual X),PBU,0.021263419904463586,0.6000612414698078
Strings (Visual X),BD50,0.027490124618207736,0.49786664674767367
Strings (Visual X),ABU50,-0.0021651717858577886,0.9574222021147858
Strings (Visual Y),PBU,0.04483051507527202,0.2689738244704656
Strings (Visual Y),BD50,0.023979105193285766,0.5543357143483134
Strings (Visual Y),ABU50,0.022292120781155538,0.5825401762381592
Literals (Visual X),PBU,-0.007170093697815612,0.8782783155050465
Literals (Visual X),BD50,0.11159305594276463,0.017143721305404022
Literals (Visual X),ABU50,-0.0947988184511317,0.042878819521884375
Literals (Visual Y),PBU,-0.004269831078474466,0.9273313330651165
Literals (Visual Y),BD50,0.10821713156130283,0.020805165105953864
Literals (Visual Y),ABU50,-0.08946221569235024,0.05601750712657599
Operators (Visual X),PBU,-0.08826721482638387,0.024265677585632188
Operators (Visual X),BD50,0.0090035893294513,0.8182441153590847
Operators (Visual X),ABU50,-0.08832401567268695,0.024174395105342146
Operators (Visual Y),PBU,-0.021346078188425873,0.5858713980385
Operators (Visual Y),BD50,0.02569048605002296,0.5120084742579379
Operators (Visual Y),ABU50,-0.03994436941154008,0.30795434655010523
Comments (area),PBU,0.008909648281799656,0.8260399731009114
Comments (area),BD50,0.014900922755373941,0.7131893959596995
Comments (area),ABU50,-0.0035805001999879497,0.9296193284194414
Identifiers (area),PBU,-0.04812713569420003,0.2193053183642556
Identifiers (area),BD50,-0.01659521047485423,0.671879876852579
Identifiers (area),ABU50,-0.03116124609390826,0.4264117020465834
Keywords (area),PBU,0.04258188143418091,0.2771063720883431
Keywords (area),BD50,0.039040003426480285,0.319035843104183
Keywords (area),ABU50,0.008319328026931786,0.8318424600725378
Numbers (area),PBU,-0.05549459060383825,0.19491974905053755
Numbers (area),BD50,-0.03583511810249406,0.40260129259525257
Numbers (area),ABU50,-0.02273240016289338,0.5954532318394292
Strings (area),PBU,0.0884511863056291,0.02918154142023229
Strings (area),BD50,-0.015027934791286897,0.710966667785595
Strings (area),ABU50,0.09325486367821292,0.02147802615140181
Literals (area),PBU,-0.006122776640831308,0.8959480909945544
Literals (area),BD50,0.11206193432907875,0.01668275003539204
Literals (area),ABU50,-0.09420586258904488,0.04419643442944371
Operators (area),PBU,-0.03174342992596172,0.4178215674588389
Operators (area),BD50,-0.033612177680008626,0.39094572724685384
Operators (area),ABU50,-0.00263783571585642,0.9463213467143956
Keywords/identifiers (area),PBU,0.05446006811615368,0.1645238321704947
Keywords/identifiers (area),BD50,0.050482446892015136,0.19757425463280742
Keywords/identifiers (area),ABU50,0.010203496395400658,0.7945321897347508
Numbers/identifiers (area),PBU,-0.041232472813273816,0.3357458933705527
Numbers/identifiers (area),BD50,-0.027138109794646047,0.5263675536218004
Numbers/identifiers (area),ABU50,-0.01648499788567504,0.7003445854109012
Strings/identifiers (area),PBU,0.08288258997834948,0.04098169514715036
Strings/identifiers (area),BD50,-0.019233441574984644,0.6353164138342081
Strings/identifiers (area),ABU50,0.09145563641954237,0.024126491219895126
Literals/identifiers (area),PBU,-0.006364465192443072,0.8918655388129095
Literals/identifiers (area),BD50,0.10999886942929656,0.01879565254825185
Literals/identifiers (area),ABU50,-0.09279759241658865,0.04746328648779683
Operators/literals (area),PBU,0.07916165527442068,0.04333259960252351
Operators/literals (area),BD50,0.002218807146361726,0.9548383984095343
Operators/literals (area),ABU50,0.07107662829977958,0.0696575700589398
Numbers/keywords (area),PBU,-0.05712790162092589,0.1821021854524597
Numbers/keywords (area),BD50,-0.03610039966771919,0.3991274806989077
Numbers/keywords (area),ABU50,-0.024025403707900378,0.5746950287489276
Strings/keywords (area),PBU,0.0630278923590608,0.12015128343574452
Strings/keywords (area),BD50,-0.024017687824328865,0.5536985513309782
Strings/keywords (area),ABU50,0.07697033221838111,0.05770517591680949
Literals/keywords (area),PBU,-0.006122776640831308,0.8959480909945544
Literals/keywords (area),BD50,0.11206193432907875,0.01668275003539204
Literals/keywords (area),ABU50,-0.09420586258904488,0.04419643442944371
Operators/keywords (area),PBU,-0.04456683040225594,0.25532696752763007
Operators/keywords (area),BD50,-0.04553138962327409,0.24518483246952405
Operators/keywords (area),ABU50,-0.005014786580694073,0.8981526356913913
#aligned blocks,PBU,-0.03397801017826985,0.3892465644974037
#aligned blocks,BD50,-0.03080882629635647,0.4349912496854341
#aligned blocks,ABU50,-0.006909440242122221,0.8610155909732468
Extent of aligned blocks,PBU,-0.02075274215271915,0.5979625513002018
Extent of aligned blocks,BD50,-0.039007583018292886,0.32159129219484595
Extent of aligned blocks,ABU50,0.011738305164612753,0.7654944489575098
#nested blocks (avg),PBU,-0.05998842139246941,0.1375822127526989
#nested blocks (avg),BD50,0.08954117670001169,0.02666715908322088
#nested blocks (avg),ABU50,-0.12596315414994297,0.0018215353044414224
#parameters,PBU,-0.0913733489037334,0.034632457933550735
#parameters,BD50,0.05827582892549567,0.17785563982617403
#parameters,ABU50,-0.13012607427862266,0.0026243194288046714
#statements,PBU,0.031796358167115096,0.4228309413083182
#statements,BD50,-0.01812450361225798,0.6477567681341195
#statements,ABU50,0.043578755393783544,0.27197353301169125
warnings_checker_framework,PBU,-0.14110344828590077,0.0010810688348611027
warnings_checker_framework,BD50,0.06772695435800413,0.1166868838579999
warnings_checker_framework,ABU50,-0.18334887821471427,2.1654673672427602e-05
warnings_typestate_checker,PBU,0.005098297245305855,0.899068001547028
warnings_typestate_checker,BD50,0.08824188226496546,0.02813926227822395
warnings_typestate_checker,ABU50,-0.06505508061065979,0.10555856271328092
warnings_infer,PBU,-0.05476434378245509,0.24458978727176373
warnings_infer,BD50,0.020110360736083195,0.6691683953659743
warnings_infer,ABU50,-0.06627937975555538,0.1590559485574642
warnings_openjml,PBU,-0.0565037844046813,0.1705814847538467
warnings_openjml,BD50,-0.018844653295174187,0.647654370086355
warnings_openjml,ABU50,-0.037089995422168,0.3683801022821763
warning_sum,PBU,-0.0030674235728293414,0.9383868997670696
warning_sum,BD50,0.04652808866330562,0.24100296254985876
warning_sum,ABU50,-0.03959749102430599,0.3183588280086682
