feature1,feature2,tau,p-value,missing values in feature1,missing values in feature2,feature to remove
Literals/identifiers (area),Literals/numbers (area),0.9333768778576094,7.763977584999758e-42,0,250,Literals/numbers (area)
Literals/identifiers (area),Literals/strings (area),0.9578947368421052,6.859318083518898e-66,0,141,Literals/strings (area)
Numbers/keywords (area),Numbers/comments (area),0.7401503074470508,9.428474476430655e-61,0,140,Numbers/comments (area)
Numbers/keywords (area),Operators/numbers (area),-0.7563610043984188,2.956307861572288e-51,0,250,Operators/numbers (area)
Strings/keywords (area),Strings/comments (area),0.7265926093856269,5.438938308736928e-65,0,140,Strings/comments (area)
Strings/keywords (area),Strings/numbers (area),0.7381447194407709,3.8430591197824744e-42,0,250,Strings/numbers (area)
Strings/keywords (area),Operators/strings (area),-0.7349224519112069,3.4232079571085972e-77,0,141,Operators/strings (area)
Literals/keywords (area),Literals/comments (area),0.958041958041958,4.1383499760316374e-66,0,140,Literals/comments (area)
Literals/keywords (area),Literals/numbers (area),0.9333768778576094,7.763977584999758e-42,0,250,Literals/numbers (area)
Literals/keywords (area),Literals/strings (area),0.9578947368421052,6.859318083518898e-66,0,141,Literals/strings (area)
Literals/keywords (area),Operators/literals (area).1,-1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
Operators/keywords (area),Operators/literals (area).1,-1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
#aligned blocks,Extent of aligned blocks,0.7988272821169733,9.013633125147347e-132,0,0,Extent of aligned blocks
#parameters,Operators/literals (area).1,-1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
Strings/comments (area),Strings/numbers (area),0.7993138936535163,1.905227265647891e-39,140,250,Strings/numbers (area)
Keywords/comments (area),Operators/literals (area).1,1.0,9.877731830097747e-09,140,409,Operators/literals (area).1
Literals/comments (area),Literals/numbers (area),1.0,1.9875389669823878e-38,140,250,Literals/numbers (area)
Literals/comments (area),Literals/strings (area),0.9333333333333333,9.894528718499414e-43,140,141,Literals/strings (area)
Strings/numbers (area),Operators/literals (area).1,1.0,1.9183759386617496e-08,250,409,Operators/literals (area).1
Numbers/comments (area),Operators/literals (area).1,1.0,9.877731830097747e-09,140,409,Operators/literals (area).1
Operators/numbers (area),Operators/literals (area).1,1.0,1.9183759386617496e-08,250,409,Operators/literals (area).1
Literals/numbers (area),Literals/strings (area),0.9192825112107623,2.889142565666716e-26,250,141,Literals/numbers (area)
Identifiers/comments (area),Operators/comments (area),0.8896271851587585,1.380702478879217e-112,140,140,Operators/comments (area)
Operators/comments (area),Operators/literals (area).1,1.0,9.877731830097747e-09,140,409,Operators/literals (area).1
