SUBJECT,PARTICIPANT_ID,METHOD_NAME,SEQUENCE,TREAT,PERIOD,CARRYOVE,SCORE,TIMESEC
"1",1,prob1-t1sef,"SEF-SE","SEF",1,0,21,181
"2",1,prob1-t1se,"SEF-SE","SE",2,1,16,206
"3",2,prob2-t1sef,"SEF-SE","SEF",1,0,19,184
"4",2,prob2-t1se,"SEF-SE","SE",2,1,8,167
"5",3,prob3-t1sef,"SEF-SE","SEF",1,0,20,201
"6",3,prob3-t1se,"SEF-SE","SE",2,1,11,365
"7",4,prob4-t1sef,"SEF-SE","SEF",1,0,20,335
"8",4,prob4-t1se,"SEF-SE","SE",2,1,15,375
"9",5,prob5-t1sef,"SEF-SE","SEF",1,0,19,377
"10",5,prob5-t1se,"SEF-SE","SE",2,1,11,383
"11",6,prob6-t1sef,"SEF-SE","SEF",1,0,20,479
"12",6,prob6-t1se,"SEF-SE","SE",2,1,10,431
"13",7,prob1-t1sef,"SEF-SE","SEF",1,0,20,295
"14",7,prob1-t1se,"SEF-SE","SE",2,1,9,272
"15",8,prob2-t1sef,"SEF-SE","SEF",1,0,19,231
"16",8,prob2-t1se,"SEF-SE","SE",2,1,12,413
"17",9,prob3-t1sef,"SEF-SE","SEF",1,0,20,320
"18",9,prob3-t1se,"SEF-SE","SE",2,2,11,344
"19",10,prob4-t1sef,"SE-SEF","SEF",2,0,20,355
"20",10,prob4-t1se,"SE-SEF","SE",1,2,10,590
"21",11,prob5-t1sef,"SE-SEF","SEF",2,0,20,202
"22",11,prob5-t1se,"SE-SEF","SE",1,2,9,326
"23",12,prob6-t1sef,"SE-SEF","SEF",2,0,20,299
"24",12,prob6-t1se,"SE-SEF","SE",1,2,6,479
"25",13,prob1-t1sef,"SE-SEF","SEF",2,0,20,153
"26",13,prob1-t1se,"SE-SEF","SE",1,2,15,243
"27",14,prob2-t1sef,"SE-SEF","SEF",2,0,16,345
"28",14,prob2-t1se,"SE-SEF","SE",1,2,11,465
"29",15,prob3-t1sef,"SE-SEF","SEF",2,0,20,347
"30",15,prob3-t1se,"SE-SEF","SE",1,2,7,357
"31",16,prob4-t1sef,"SE-SEF","SEF",2,0,20,304
"32",16,prob4-t1se,"SE-SEF","SE",1,2,13,493
"33",17,prob5-t1sef,"SE-SEF","SEF",2,0,20,217
"34",17,prob5-t1se,"SE-SEF","SE",1,2,11,450
"35",18,prob6-t1sef,"SE-SEF","SEF",2,0,21,244
"36",18,prob6-t1se,"SE-SEF","SE",1,2,11,347
"1",1,prob1-t2sef,"SE-SEF","SEF",2,10,1019
"2",1,prob1-t2se,"SE-SEF","SE",1,2,1811
"3",2,prob2-t2sef,"SE-SEF","SEF",2,8,1536
"4",2,prob2-t2se,"SE-SEF","SE",1,3,1784
"5",3,prob3-t2sef,"SE-SEF","SEF",2,12,1305
"6",3,prob3-t2se,"SE-SEF","SE",1,11,2092
"7",4,prob4-t2sef,"SE-SEF","SEF",2,11,1590
"8",4,prob4-t2se,"SE-SEF","SE",1,7,1202
"9",5,prob1-t2sef,"SE-SEF","SEF",2,9,1604
"10",5,prob1-t2se,"SE-SEF","SE",1,6,1735
"11",6,prob2-t2sef,"SE-SEF","SEF",2,8,1479
"12",6,prob2-t2se,"SE-SEF","SE",1,1,2047
"13",7,prob3-t2sef,"SE-SEF","SEF",2,9,1101
"14",7,prob3-t2se,"SE-SEF","SE",1,6,2061
"15",8,prob4-t2sef,"SE-SEF","SEF",2,8,1361
"16",8,prob4-t2se,"SE-SEF","SE",1,7,2042
"17",9,prob1-t2sef,"SEF-SE","SEF",1,12,1498
"18",9,prob1-t2se,"SEF-SE","SE",2,2,1663
"19",10,prob2-t2sef,"SEF-SE","SEF",1,10,655
"20",10,prob2-t2se,"SEF-SE","SE",2,7,720
"21",11,prob3-t2sef,"SEF-SE","SEF",1,10,1054
"22",11,prob3-t2se,"SEF-SE","SE",2,1,1103
"23",12,prob4-t2sef,"SEF-SE","SEF",1,11,1582
"24",12,prob4-t2se,"SEF-SE","SE",2,9,1675
"25",13,prob1-t2sef,"SEF-SE","SEF",1,12,1444
"26",13,prob1-t2se,"SEF-SE","SE",2,11,1705
"27",14,prob2-t2sef,"SEF-SE","SEF",1,12,1569
"28",14,prob2-t2se,"SEF-SE","SE",2,4,1820
"29",15,prob3-t2sef,"SEF-SE","SEF",1,8,1395
"30",15,prob3-t2se,"SEF-SE","SE",2,5,1157
"31",16,prob4-t2sef,"SEF-SE","SEF",1,11,2193
"32",16,prob4-t2se,"SEF-SE","SE",2,7,1686
