model,iteration,hyperparameters,target,warning_feature,feature_set,correlation_c,mse_c,mae_c,rmse_c,correlation_cw,mse_cw,mae_cw,rmse_cw,diff_mse,diff_mae,diff_rmse,experiment
mlp,1,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.09025788414976127,89507.62438307995,245.1867622274356,299.17824851262156,-0.0753918797015653,90036.0976985436,251.747432442672,300.06015679950514,-528.4733154636488,-6.560670215236399,-0.8819082868835721,exp1-TNPU-feature-set1
mlp,2,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.01913368683461271,80662.30131821956,184.90169415421195,284.0110936534338,-0.10948720799806162,83086.16133355028,196.2501749173342,288.2467022075886,-2423.8600153307198,-11.34848076312224,-4.235608554154794,exp1-TNPU-feature-set1
mlp,3,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.17675161725509905,53589.988898086995,160.2403169430973,231.4951163590433,0.2627388905143364,71734.61164489586,226.55711837005367,267.83317876039155,-18144.62274680887,-66.31680142695637,-36.33806240134825,exp1-TNPU-feature-set1
mlp,4,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.012201618983616786,72228.77836130063,234.4481859790687,268.7541225010337,0.023872732794032844,63228.18016734099,230.18709079611833,251.45214289669713,9000.598193959646,4.261095182950385,17.301979604336566,exp1-TNPU-feature-set1
mlp,5,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.03891484277364834,49721.531495857394,175.9335300527095,222.98325384624155,-0.09920544425394857,54913.716643444954,186.09965830227807,234.33675905295985,-5192.185147587559,-10.166128249568573,-11.353505206718296,exp1-TNPU-feature-set1
mlp,overall,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.0032487169026919906,69142.0448913089,200.14209787130463,262.94874955266266,0.0005054182709587546,72599.75349755512,218.16829496569125,269.4434142775717,-3457.7086062462186,-18.026197094386617,-6.494664724909057,exp1-TNPU-feature-set1
mlp,1,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.09662902891327382,112109.21224875844,281.24084641371127,334.8271378618502,-0.06583516255629646,148296.89794167917,317.8770648583462,385.093362629998,-36187.68569292073,-36.63621844463495,-50.26622476814782,exp1-TNPU-feature-set1
mlp,2,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.0031889478057687847,81984.33755926052,178.6046425571841,286.3290721517124,-0.0031889478057687847,87720.3281458354,195.76116978376575,296.1761775461278,-5735.990586574888,-17.15652722658166,-9.847105394415394,exp1-TNPU-feature-set1
mlp,3,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.21709132569770423,48626.93484591246,141.08565460661714,220.51515785975454,0.2659236043387526,90903.59802048646,271.07264915465663,301.502235514907,-42276.663174574,-129.9869945480395,-80.98707765515246,exp1-TNPU-feature-set1
mlp,4,"{'alpha': 0.0001, 'random_state': 1699304546, 'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'activation': 'relu', 'hidden_layer_sizes': (50, 50, 50), 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.021750712101229926,50286.32366131983,197.4920463014576,224.24612295716472,0.044031929375660576,77767.73306413257,240.6170061348446,278.8686663362031,-27481.409402812737,-43.12495983338698,-54.622543379038376,exp1-TNPU-feature-set1
