model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
mlp_classifier,overall,"{'solver': 'adam', 'momentum': 0.9, 'learning_rate_init': 0.1, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",PBU,246,0,98,0,344,246,98,234,7,91,12,344,246,98,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.72,0.951219512195122,0.8196147110332749,0.7005813953488372,0.5,0.5123931256713211,0.0048837209302324,-0.048780487804878,-0.0142835940514709,-0.0145348837209302,0.0123931256713211,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'min_samples_leaf': 5, 'n_estimators': 100, 'min_samples_split': 15, 'random_state': 1699304546, 'max_depth': 5, 'bootstrap': True, 'max_features': 0.1}",PBU,232,5,93,14,344,246,98,233,5,93,13,344,246,98,0.7138461538461538,0.943089430894309,0.8126094570928196,0.688953488372093,0.7147239263803681,0.9471544715447154,0.8146853146853147,0.6918604651162791,0.4968141783029001,0.4985918367346938,0.0008777725342142,0.0040650406504064,0.002075857592495,0.002906976744186,0.0017776584317937,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 1699304546, 'min_samples_split': 2, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.1}",PBU,222,10,88,24,344,246,98,227,15,83,19,344,246,98,0.7161290322580646,0.902439024390244,0.7985611510791367,0.6744186046511628,0.7322580645161291,0.9227642276422764,0.816546762589928,0.7034883720930233,0.502358754027927,0.5374812030075188,0.0161290322580645,0.0203252032520324,0.0179856115107912,0.0290697674418605,0.0351224489795918,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'max_depth': 10, 'n_estimators': 100, 'min_samples_leaf': 4, 'random_state': 1699304546, 'bootstrap': True, 'min_samples_split': 10, 'max_features': 0.1}",PBU,222,12,86,24,344,246,98,227,11,87,19,344,246,98,0.7207792207792207,0.902439024390244,0.8014440433212996,0.6802325581395349,0.7229299363057324,0.9227642276422764,0.8107142857142857,0.6918604651162791,0.51209559613319,0.5169140708915145,0.0021507155265116,0.0203252032520324,0.0092702423929861,0.0116279069767442,0.0048184747583245,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'bootstrap': False, 'min_samples_split': 15, 'random_state': 1699304546, 'max_depth': 5, 'n_estimators': 10, 'min_samples_leaf': 2, 'max_features': 0.1}",PBU,231,7,91,15,344,246,98,228,8,90,18,344,246,98,0.717391304347826,0.9390243902439024,0.8133802816901408,0.6918604651162791,0.7169811320754716,0.926829268292683,0.8085106382978724,0.686046511627907,0.5045102040816327,0.5036917293233082,-0.0004101722723544,-0.0121951219512194,-0.0048696433922683,-0.0058139534883721,-0.0008184747583245,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'min_samples_leaf': 5, 'bootstrap': False, 'min_samples_split': 15, 'random_state': 1699304546, 'n_estimators': 50, 'max_depth': 5, 'max_features': 0.1}",PBU,234,7,91,12,344,246,98,226,6,92,20,344,246,98,0.72,0.951219512195122,0.8196147110332749,0.7005813953488372,0.710691823899371,0.91869918699187,0.8014184397163121,0.6744186046511628,0.5106326530612245,0.4893469387755102,-0.0093081761006289,-0.0325203252032519,-0.0181962713169627,-0.0261627906976744,-0.0212857142857142,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'min_samples_leaf': 5, 'n_estimators': 100, 'random_state': 1699304546, 'min_samples_split': 2, 'max_depth': 5, 'bootstrap': True, 'max_features': 0.1}",PBU,231,4,94,15,344,246,98,230,7,91,16,344,246,98,0.7107692307692308,0.9390243902439024,0.8091068301225919,0.6831395348837209,0.7165109034267912,0.934959349593496,0.8112874779541446,0.688953488372093,0.4897733619763695,0.5027325456498388,0.0057416726575604,-0.0040650406504064,0.0021806478315526,0.0058139534883721,0.0129591836734693,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'random_state': 1699304546, 'min_samples_split': 2, 'max_depth': 5, 'n_estimators': 50, 'bootstrap': True, 'max_features': 0.1}",PBU,227,8,90,19,344,246,98,228,9,89,18,344,246,98,0.7160883280757098,0.9227642276422764,0.8063943161634102,0.6831395348837209,0.7192429022082019,0.926829268292683,0.8099467140319717,0.688953488372093,0.5016917293233083,0.5094812030075188,0.003154574132492,0.0040650406504065,0.0035523978685615,0.0058139534883721,0.0077894736842104,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 15, 'random_state': 1699304546, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.1}",PBU,227,12,86,19,344,246,98,232,10,88,14,344,246,98,0.7252396166134185,0.9227642276422764,0.8121645796064401,0.6947674418604651,0.725,0.943089430894309,0.8197879858657244,0.7034883720930233,0.5230483351235231,0.5222588614393125,-0.0002396166134185,0.0203252032520325,0.0076234062592843,0.0087209302325581,-0.0007894736842105,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
randomForest_classifier,overall,"{'min_samples_leaf': 5, 'min_samples_split': 15, 'random_state': 1699304546, 'n_estimators': 50, 'max_depth': 5, 'bootstrap': True, 'max_features': 0.1}",PBU,231,6,92,15,344,246,98,229,7,91,17,344,246,98,0.7151702786377709,0.9390243902439024,0.81195079086116,0.688953488372093,0.715625,0.9308943089430894,0.8091872791519434,0.686046511627907,0.4997733619763694,0.5006917293233083,0.000454721362229,-0.0081300813008129,-0.0027635117092165,-0.002906976744186,0.0009183673469388,exp31-PBU-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
