model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
logistic_regression,overall,"c - {'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42, 'C': 0.01}",BD50,63,139,219,23,50,175,183,36,0.2234042553191489,0.7325581395348837,0.3423913043478261,0.4549549549549549,0.2145922746781116,0.5813953488372093,0.3134796238244514,0.5067567567567568,0.5592460317460317,0.5324801587301586,-0.0088119806410373,-0.1511627906976743,-0.0289116805233746,0.0518018018018018,-0.026765873015873,exp6-Kendals-BD50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",PBU,183,71,64,126,190,66,69,119,0.7408906882591093,0.5922330097087378,0.658273381294964,0.5720720720720721,0.7335907335907336,0.6148867313915858,0.6690140845070423,0.5765765765765766,0.5584916696207018,0.5519786127850643,-0.0072999546683757,0.0226537216828479,0.0107407032120782,0.0045045045045044,-0.0065130568356375,exp4-Kendals-PBU,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",PBU,181,69,66,128,182,72,63,127,0.7327935222672065,0.5857605177993528,0.6510791366906475,0.5630630630630631,0.7428571428571429,0.5889967637540453,0.6570397111913359,0.5720720720720721,0.5472988302020559,0.5608921186340541,0.0100636205899363,0.0032362459546925,0.0059605745006883,0.009009009009009,0.0135932884319981,exp4-Kendals-PBU,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",PBU,176,74,61,133,189,68,67,120,0.7426160337552743,0.56957928802589,0.6446886446886446,0.5630630630630631,0.73828125,0.6116504854368932,0.6690265486725664,0.5788288288288288,0.5579693961952026,0.5569053527118042,-0.0043347837552742,0.0420711974110031,0.0243379039839217,0.0157657657657657,-0.0010640434833983,exp4-Kendals-PBU,True
randomForest_classifier,overall,"c - {'n_estimators': 50, 'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.1}",PBU,189,66,69,120,191,65,70,118,0.7325581395348837,0.6116504854368932,0.6666666666666666,0.5743243243243243,0.7318007662835249,0.6181229773462783,0.6701754385964912,0.5765765765765766,0.5494877702942219,0.5485926976249555,-0.0007573732513588,0.0064724919093851,0.0035087719298245,0.0022522522522522,-0.0008950726692663,exp4-Kendals-PBU,True
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'log2'}",PBU,176,74,61,133,171,79,56,138,0.7426160337552743,0.56957928802589,0.6446886446886446,0.5630630630630631,0.7533039647577092,0.5533980582524272,0.6380597014925373,0.5630630630630631,0.5579693961952026,0.5684249084249084,0.0106879310024349,-0.0161812297734628,-0.0066289431961072,0.0,0.0104555122297058,exp4-Kendals-PBU,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",ABU50,122,136,85,101,127,141,80,96,0.5893719806763285,0.547085201793722,0.5674418604651162,0.581081081081081,0.6135265700483091,0.5695067264573991,0.5906976744186047,0.6036036036036037,0.5809288537549407,0.6035573122529645,0.0241545893719806,0.022421524663677,0.0232558139534884,0.0225225225225226,0.0226284584980237,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",ABU50,126,139,82,97,120,137,84,103,0.6057692307692307,0.5650224215246636,0.5846867749419953,0.5968468468468469,0.5882352941176471,0.5381165919282511,0.5620608899297425,0.5788288288288288,0.5966403162055336,0.5789525691699604,-0.0175339366515836,-0.0269058295964125,-0.0226258850122528,-0.018018018018018,-0.0176877470355731,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100, 'max_features': 0.1}",ABU50,118,135,86,105,123,133,88,100,0.5784313725490197,0.5291479820627802,0.5526932084309134,0.5698198198198198,0.5829383886255924,0.5515695067264574,0.5668202764976958,0.5765765765765766,0.5694664031620553,0.5765810276679841,0.0045070160765727,0.0224215246636771,0.0141270680667824,0.0067567567567567,0.0071146245059288,exp5-Kendals-ABU50,True
randomForest_classifier,overall,"cw - {'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.1}",ABU50,118,129,92,105,121,132,89,102,0.5619047619047619,0.5291479820627802,0.5450346420323325,0.5563063063063063,0.5761904761904761,0.5426008968609866,0.558891454965358,0.5698198198198198,0.5558300395256917,0.5697628458498023,0.0142857142857142,0.0134529147982063,0.0138568129330254,0.0135135135135134,0.0139328063241106,exp5-Kendals-ABU50,True
