experiment,warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,SVC,PBU,precision,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.0,0.0,0.5,0.0,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,SVC,PBU,recall,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.0,0.0,0.5,0.0,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,2,False,SVC,PBU,auc,0.506813463384061,0.506813463384061,0.506813463384061,0.506813463384061,0.0,0.0,0.5,0.0,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,5,False,knn_classifier,PBU,f1,0.8044077134986225,0.8033012379642366,0.8031714824021625,0.8013680412149629,-0.00110647553438592,-0.0018034411871996614,0.9704708854547317,0.24,small
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,5,False,knn_classifier,PBU,precision,0.6993006993006993,0.6959619952494062,0.6975577975785618,0.6949163682353559,-0.0033387040512931065,-0.002641429343205992,0.9704708854547317,0.64,large
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,5,False,knn_classifier,PBU,recall,0.9449838187702264,0.948220064724919,0.946925566343042,0.946925566343042,0.003236245954692629,0.0,0.3927473735591771,-0.08,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,5,False,knn_classifier,PBU,auc,0.5076267700804983,0.4999872691305795,0.5038182815284877,0.49789235560256184,-0.007639500949918776,-0.00592592592592589,0.9704708854547317,0.64,large
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,4,False,logistic_regression,PBU,f1,0.8210728514513375,0.8202622796297615,0.8207269971665185,0.8203217112557305,-0.0008105718215759561,-0.00040528591078803355,0.7751541010155545,0.1875,small
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,4,False,logistic_regression,PBU,precision,0.7157128003969848,0.7153702212326496,0.7133832289832673,0.7132119394010997,-0.0003425791643352216,-0.0001712895821676108,0.7751541010155545,0.0625,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,4,False,logistic_regression,PBU,recall,0.9644012944983817,0.9627831715210355,0.9668284789644013,0.9660194174757282,-0.0016181229773462036,-0.0008090614886731018,0.7751541010155545,0.0625,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,4,False,logistic_regression,PBU,auc,0.5431870262647629,0.5423673541336154,0.5380246587147698,0.537614822649196,-0.0008196721311475308,-0.0004098360655737654,0.7751541010155545,0.0625,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,9,False,randomForest_classifier,PBU,f1,0.813986013986014,0.8073136427566807,0.8106588466576817,0.809663183148264,-0.006672371229333285,-0.0009956635094177102,0.787109375,0.1111111111111111,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,9,False,randomForest_classifier,PBU,precision,0.7139303482587065,0.7100737100737101,0.7126781961895842,0.7115365143975836,-0.003856638184996375,-0.0011416817920005817,0.751953125,0.2345679012345679,small
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,9,False,randomForest_classifier,PBU,recall,0.941747572815534,0.9352750809061487,0.9399496583962603,0.939230492628551,-0.006472491909385258,-0.0007191657677093621,0.6328125,0.024691358024691357,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,9,False,randomForest_classifier,PBU,auc,0.5384579979238889,0.5305726932643908,0.5361916855453491,0.5337785873304999,-0.007885304659498105,-0.002413098214849252,0.751953125,0.2345679012345679,small
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,6,False,mlp_classifier,PBU,f1,0.8194494748279608,0.8183585657370518,0.8181945728671766,0.8165511996294068,-0.0010909090909090313,-0.0016433732377697519,0.7019436671383381,0.16666666666666666,small
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,6,False,mlp_classifier,PBU,precision,0.6959459459459459,0.6959459459459459,0.6952061714915604,0.6963915358004029,0.0,0.0011853643088425292,0.22904411735790503,-0.1111111111111111,negligible
exp2-PBU-feature-set1-NO-SMOTE,warnings_typestate_checker,set1,6,False,mlp_classifier,PBU,recall,0.9951456310679612,0.9951456310679612,0.994066882416397,0.9870550161812298,0.0,-0.007011866235167141,0.7019436671383381,0.1388888888888889,negligible
