feature_set,warning_feature,target,use_smote,#models_F1_mean_improved / 6,#models_F1_median_improved / 6,#models_improved_both_F1(median+mean) / 6,#models_improved_F1_mean_with_statistical_significance / 6,#models_improved_F1_median_with_statistical_significance / 6,#models_improved_both_F1(mean+median)_with_statistical_significance / 6,avg(mean_F1_improvement),median(mean_F1_improvement),q3(mean_F1_improvement),avg(median_F1_improvement),median(median_F1_improvement),q3(median_F1_improvement),#models_AUC_mean_improved / 6,#models_AUC_median_improved / 6,#models_improved_both_AUC(median+mean) / 6,#models_improved_in_F1(median+mean)+AUC(median+mean) / 12,#models_improved_AUC_mean_with_statistical_significance / 6,#models_improved_AUC_median_with_statistical_significance / 6,#models_improved_both_AUC(mean+median)_with_statistical_significance / 6,#models_improved_F1(mean+median)+AUC(mean+median)_with_statistical_significance / 12,avg(mean_AUC_improvement),median(mean_AUC_improvement),q3(mean_AUC_improvement),avg(median_AUC_improvement),median(median_AUC_improvement),q3(median_AUC_improvement)
set1,warning_sum,PBU,False,1,1,0,0,0,0,-0.0025026456709367245,-0.00119084385936065,-0.000127755133995525,-0.0025913815586283335,-0.00082831817370585,0.0,1,0,0,0,0,0,0,0,-0.0036619462447458166,-0.0032954998008760503,-0.00010454002389485,-0.005535071913090567,-0.00334528076463555,0.0
set1,warning_sum,ABU50,True,2,3,2,0,0,0,0.0019113060869463672,-0.006281808898912149,0.017889136093611823,0.012540339538746668,0.01026554014774055,0.03249620854178805,3,3,3,4,0,0,0,0,0.008210227272727282,0.0020738636363636497,0.023972537878787926,0.006607744107744152,0.0003409090909091499,0.022784090909091
set1,warning_sum,ABU50,False,2,3,2,0,0,0,0.0009115048699436402,-0.0016305752845036,0.0110332646780939,0.0013678719368597405,0.0009052273101363,0.0093529803300511,2,2,2,4,1,1,1,0,0.0030969696969696805,-0.0022727272727273,0.0138888888888888,0.0024141414141413994,-0.0022727272727273,0.0138888888888888
set1,warning_sum,BD50,True,3,3,3,1,1,1,0.011312710607238935,-8.701893088845e-05,0.012215968649963225,0.00231101932143195,-0.0009454397221245001,0.008098724030389175,3,2,2,2,0,0,0,0,0.0008839372016412331,0.0005208538814587,0.003868097268249925,-0.0013993410353186004,-0.00424663997054215,0.000804335818834575
set1,warning_sum,BD50,False,3,2,2,0,0,0,0.009865133427571867,0.0039064571939189,0.022880024948411425,0.009708417917683516,0.0,0.020926796351451976,2,1,1,0,0,0,0,0,0.0006632094674072167,0.0,0.00194812666850775,0.0006181150081315999,0.0,0.0
set2,warnings_checker_framework,PBU,True,4,4,3,0,0,0,0.03584154765035122,0.0032192414946398,0.015181969749915699,0.04404234014267836,0.014136280047808751,0.017788005822146475,2,2,2,2,0,0,0,0,-0.0035937448994914165,-0.00332749019070175,0.00020090291243117498,-0.0016991630269438003,-0.0036238909454139505,0.004893795170103949
set2,warnings_checker_framework,PBU,False,2,1,1,0,0,0,-0.00543049814175365,-0.001470234282655,7.65835736355e-05,-0.0051533405307171995,-0.0019574770231863,-0.000144986714482675,4,4,4,0,1,1,1,0,0.0039394905973435335,0.0028508333822981,0.004811876921871575,0.004135737182625933,0.0018386313336074501,0.0042589654699649255
set2,warnings_checker_framework,ABU50,True,5,5,5,1,1,1,0.014215059495884167,0.0119976896728121,0.02451350030590595,0.009912914968444932,0.0095369689592406,0.010982381235219375,4,3,3,6,1,1,1,2,0.0018468948746725832,0.0049537037037036,0.007201178451178399,0.005454545454545434,0.00729797979797985,0.017133838383838276
set2,warnings_checker_framework,ABU50,False,5,4,4,1,1,1,0.049620623069824066,0.0161594854102725,0.03253775469081922,0.04735403988913369,0.013176391862744701,0.031223486802146025,4,3,3,2,2,2,2,2,-0.0013172064560953997,0.006663059163059,0.0096401515151514,-0.004132996632996634,0.00118686868686865,0.0071843434343433505
set2,warnings_checker_framework,BD50,True,1,1,1,0,0,0,-0.003440596553563584,-0.0058924676365979005,-0.0002956121530062,-0.0002631732739146522,-0.007548890037705,-0.0001539706388775545,1,2,1,2,0,0,0,0,-0.004682194017408616,-0.0055559870661878496,-0.00029637588603495003,-0.007313242198287717,-0.00644533047960965,0.000297742336371225
set2,warnings_checker_framework,BD50,False,1,2,1,0,0,0,-0.004285424499456221,-0.0041941972104874,0.0,-0.0037221653668854807,0.0,0.0083402835696413,1,2,1,2,0,0,0,0,-0.0030016109730276403,-0.0019787351560341,0.0,-0.00288559790113226,0.0,0.0013791079812206
set2,warnings_infer,PBU,True,2,2,2,0,0,0,0.019339112305778946,-0.0027437175374772998,0.0018789972960899502,0.02578072132671072,-0.00328210231300215,0.0016194532488111749,1,2,1,2,0,0,0,0,-0.0007709538866872831,-0.00348796443190945,-0.001408817596020075,0.001056662161897483,-0.005167264038231751,-3.9661554733025003e-05
