model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
knn_classifier,overall,"c - {'n_neighbors': 7, 'weights': 'uniform'}",ABU50,129,131,90,94,128,133,88,95,0.589041095890411,0.57847533632287,0.583710407239819,0.5855855855855856,0.5925925925925926,0.5739910313901345,0.5831435079726651,0.5878378378378378,0.5850790513833992,0.5874505928853755,0.0035514967021815,-0.0044843049327354,-0.0005668992671539,0.0022522522522522,0.0023715415019762,exp2-Kendals-ABU50,False
knn_classifier,overall,"cw - {'n_neighbors': 13, 'weights': 'uniform'}",ABU50,123,145,76,100,127,142,79,96,0.6180904522613065,0.5515695067264574,0.5829383886255924,0.6036036036036037,0.616504854368932,0.5695067264573991,0.5920745920745919,0.6058558558558559,0.6032608695652174,0.6056324110671937,-0.0015855978923745,0.0179372197309416,0.0091362034489994,0.0022522522522522,0.0023715415019762,exp2-Kendals-ABU50,False
knn_classifier,overall,"c - {'n_neighbors': 13, 'weights': 'uniform'}",BD50,2,344,14,84,1,350,8,85,0.125,0.0232558139534883,0.0392156862745098,0.7792792792792793,0.1111111111111111,0.0116279069767441,0.0210526315789473,0.7905405405405406,0.4915079365079365,0.4944047619047619,-0.0138888888888888,-0.0116279069767441,-0.0181630546955624,0.0112612612612612,0.0028968253968253,exp3-Kendals-BD50,False
knn_classifier,overall,"cw - {'n_neighbors': 9, 'weights': 'uniform'}",BD50,3,342,16,83,3,343,15,83,0.1578947368421052,0.0348837209302325,0.0571428571428571,0.777027027027027,0.1666666666666666,0.0348837209302325,0.0576923076923076,0.7792792792792793,0.4957539682539682,0.4964484126984126,0.0087719298245614,0.0,0.0005494505494505,0.0022522522522523,0.0006944444444444,exp3-Kendals-BD50,False
knn_classifier,overall,"c - {'n_neighbors': 15, 'weights': 'uniform'}",BD50,2,348,10,84,2,351,7,84,0.1666666666666666,0.0232558139534883,0.0408163265306122,0.7882882882882883,0.2222222222222222,0.0232558139534883,0.0421052631578947,0.795045045045045,0.4971031746031745,0.5013888888888889,0.0555555555555555,0.0,0.0012889366272824,0.0067567567567566,0.0042857142857143,exp3-Kendals-BD50,False
knn_classifier,overall,"cw - {'n_neighbors': 11, 'weights': 'uniform'}",BD50,4,343,15,82,3,347,11,83,0.2105263157894736,0.0465116279069767,0.0761904761904762,0.7815315315315315,0.2142857142857142,0.0348837209302325,0.06,0.7882882882882883,0.5026984126984126,0.5027380952380952,0.0037593984962406,-0.0116279069767441,-0.0161904761904762,0.0067567567567567,3.968253968256175e-05,exp3-Kendals-BD50,False
logistic_regression,overall,"c - {'C': 100000000.0, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}",PBU,291,21,114,18,291,22,113,18,0.7185185185185186,0.941747572815534,0.8151260504201681,0.7027027027027027,0.7202970297029703,0.941747572815534,0.8162692847124825,0.704954954954955,0.5491569183504668,0.5527283469218954,0.0017785111844517,0.0,0.0011432342923144,0.0022522522522522,0.0035714285714286,exp1-Kendals-PBU,False
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l1', 'random_state': 42, 'C': 5}",PBU,291,21,114,18,291,21,114,18,0.7185185185185186,0.941747572815534,0.8151260504201681,0.7027027027027027,0.7185185185185186,0.941747572815534,0.8151260504201681,0.7027027027027027,0.5491569183504668,0.5491569183504668,0.0,0.0,0.0,0.0,0.0,exp1-Kendals-PBU,False
logistic_regression,overall,"c - {'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42, 'C': 10}",ABU50,143,130,91,80,146,125,96,77,0.6111111111111112,0.6412556053811659,0.6258205689277899,0.6148648648648649,0.6033057851239669,0.6547085201793722,0.6279569892473117,0.6103603603603603,0.6145256916996047,0.6101778656126482,-0.0078053259871442,0.0134529147982063,0.0021364203195217,-0.0045045045045045,-0.0043478260869564,exp2-Kendals-ABU50,False
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42, 'C': 5}",ABU50,140,130,91,83,147,124,97,76,0.6060606060606061,0.6278026905829597,0.616740088105727,0.6081081081081081,0.6024590163934426,0.6591928251121076,0.6295503211991434,0.6103603603603603,0.6078063241106719,0.6102766798418973,-0.0036015896671635,0.0313901345291479,0.0128102330934164,0.0022522522522522,0.0024703557312253,exp2-Kendals-ABU50,False
logistic_regression,overall,"c - {'solver': 'liblinear', 'C': 1, 'penalty': 'l1', 'random_state': 42}",ABU50,126,138,83,97,133,130,91,90,0.6028708133971292,0.5650224215246636,0.5833333333333333,0.5945945945945946,0.59375,0.5964125560538116,0.5950782997762863,0.5923423423423423,0.5943675889328064,0.592490118577075,-0.0091208133971292,0.0313901345291479,0.011744966442953,-0.0022522522522523,-0.0018774703557313,exp2-Kendals-ABU50,False
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'C': 1, 'random_state': 42}",ABU50,126,136,85,97,132,128,93,91,0.5971563981042654,0.5650224215246636,0.5806451612903224,0.5900900900900901,0.5866666666666667,0.5919282511210763,0.5892857142857143,0.5855855855855856,0.5899209486166008,0.5858695652173913,-0.0104897314375986,0.0269058295964126,0.0086405529953919,-0.0045045045045044,-0.0040513833992095,exp2-Kendals-ABU50,False
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l1', 'random_state': 42, 'C': 0.01}",ABU50,106,153,68,117,106,153,68,117,0.6091954022988506,0.4753363228699551,0.5340050377833754,0.5833333333333334,0.6091954022988506,0.4753363228699551,0.5340050377833754,0.5833333333333334,0.583695652173913,0.583695652173913,0.0,0.0,0.0,0.0,0.0,exp2-Kendals-ABU50,False
logistic_regression,overall,"c - {'solver': 'liblinear', 'penalty': 'l1', 'random_state': 42, 'C': 5}",BD50,0,357,1,86,0,354,4,86,0.0,0.0,,0.8040540540540541,0.0,0.0,,0.7972972972972973,0.498611111111111,0.4944444444444444,0.0,0.0,,-0.0067567567567567,-0.0041666666666665,exp3-Kendals-BD50,False
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'C': 20, 'random_state': 42}",BD50,0,355,3,86,0,354,4,86,0.0,0.0,,0.7995495495495496,0.0,0.0,,0.7972972972972973,0.4958333333333334,0.4944444444444444,0.0,0.0,,-0.0022522522522523,-0.0013888888888889,exp3-Kendals-BD50,False
logistic_regression,overall,"c - {'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42, 'C': 10}",BD50,0,357,1,86,0,355,3,86,0.0,0.0,,0.8040540540540541,0.0,0.0,,0.7995495495495496,0.498611111111111,0.4958333333333334,0.0,0.0,,-0.0045045045045044,-0.0027777777777776,exp3-Kendals-BD50,False
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'C': 15, 'random_state': 42}",BD50,0,356,2,86,0,354,4,86,0.0,0.0,,0.8018018018018018,0.0,0.0,,0.7972972972972973,0.4972222222222222,0.4944444444444444,0.0,0.0,,-0.0045045045045045,-0.0027777777777777,exp3-Kendals-BD50,False
logistic_regression,overall,"cw - {'C': 100000000.0, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear'}",BD50,2,354,4,84,3,354,4,83,0.3333333333333333,0.0232558139534883,0.0434782608695652,0.8018018018018018,0.4285714285714285,0.0348837209302325,0.064516129032258,0.8040540540540541,0.5055555555555555,0.5118055555555555,0.0952380952380952,0.0116279069767441,0.0210378681626928,0.0022522522522522,0.0062499999999999,exp3-Kendals-BD50,False
logistic_regression,overall,"c - {'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42, 'C': 5}",BD50,0,357,1,86,0,356,2,86,0.0,0.0,,0.8040540540540541,0.0,0.0,,0.8018018018018018,0.498611111111111,0.4972222222222222,0.0,0.0,,-0.0022522522522522,-0.0013888888888888,exp3-Kendals-BD50,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",PBU,293,17,118,16,291,15,120,18,0.7128953771289538,0.948220064724919,0.8138888888888889,0.6981981981981982,0.708029197080292,0.941747572815534,0.8083333333333335,0.6891891891891891,0.53821044546851,0.5275670565993147,-0.0048661800486617,-0.006472491909385,-0.0055555555555554,-0.009009009009009,-0.0106433888691953,exp1-Kendals-PBU,False
randomForest_classifier,overall,"c - {'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5}",PBU,293,14,121,16,288,16,119,21,0.7077294685990339,0.948220064724919,0.8105117565698479,0.6914414414414415,0.7076167076167076,0.9320388349514565,0.8044692737430167,0.6846846846846847,0.5271079995273544,0.5260788136594587,-0.0001127609823262,-0.0161812297734627,-0.0060424828268311,-0.0067567567567567,-0.0010291858678956,exp1-Kendals-PBU,False
randomForest_classifier,overall,"cw - {'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",PBU,292,17,118,17,289,16,119,20,0.7121951219512195,0.9449838187702264,0.8122392211404728,0.6959459459459459,0.7083333333333334,0.9352750809061487,0.806136680613668,0.6869369369369369,0.536048091693253,0.5281874039938557,-0.0038617886178861,-0.0097087378640776,-0.0061025405268047,-0.009009009009009,-0.0078606876993972,exp1-Kendals-PBU,False
randomForest_classifier,overall,"c - {'n_estimators': 50, 'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.1}",PBU,293,16,119,16,295,16,119,14,0.7111650485436893,0.948220064724919,0.812760055478502,0.6959459459459459,0.7125603864734299,0.9546925566343042,0.8160442600276625,0.7004504504504504,0.5341433297884911,0.5377513883965497,0.0013953379297405,0.0064724919093851,0.0032842045491604,0.0045045045045044,0.0036080586080585,exp1-Kendals-PBU,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 0.1}",PBU,288,17,118,21,289,16,119,20,0.7093596059113301,0.9320388349514565,0.8055944055944056,0.6869369369369369,0.7083333333333334,0.9352750809061487,0.806136680613668,0.6869369369369369,0.5298174406238922,0.5281874039938556,-0.0010262725779967,0.0032362459546925,0.0005422750192624,0.0,-0.0016300366300366,exp1-Kendals-PBU,False
randomForest_classifier,overall,"c - {'random_state': 42, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10, 'max_features': 'sqrt'}",PBU,290,18,117,19,289,18,117,20,0.7125307125307125,0.9385113268608414,0.8100558659217877,0.6936936936936937,0.7118226600985221,0.9352750809061487,0.8083916083916084,0.6914414414414415,0.5369431643625192,0.535604986411438,-0.0007080524321904,-0.0032362459546925,-0.0016642575301792,-0.0022522522522522,-0.0013381779510811,exp1-Kendals-PBU,False
randomForest_classifier,overall,"cw - {'n_estimators': 50, 'random_state': 42, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.1}",PBU,295,15,120,14,296,15,120,13,0.7108433734939759,0.9546925566343042,0.8149171270718232,0.6981981981981982,0.7115384615384616,0.9579288025889968,0.8165517241379311,0.7004504504504504,0.5337977076686754,0.5357928630509277,0.0006950880444857,0.0032362459546925,0.0016345970661079,0.0022522522522522,0.0019951553822522,exp1-Kendals-PBU,False
