Experiment,use_SMOTE,metric,model,target,#best hyperparameters,wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp3-PBU-feature-set1-NO-SMOTE,False,diff_recall,knn_classifier,PBU,3,0.2071080891212626,-0.1111111111111111,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_auc,knn_classifier,PBU,3,0.2071080891212626,-0.1111111111111111,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_f1,logistic_regression,PBU,3,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_precision,logistic_regression,PBU,3,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_recall,logistic_regression,PBU,3,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_auc,logistic_regression,PBU,3,0.5,0.0,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,9,0.326171875,-0.13580246913580246,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,9,0.28515625,-0.16049382716049382,small
exp3-PBU-feature-set1-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,9,0.6165508911095648,-0.06172839506172839,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,9,0.28515625,-0.1111111111111111,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,8,0.2203239485616571,-0.21875,small
exp3-PBU-feature-set1-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,8,0.3629818131250787,-0.09375,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,8,0.4166158126352,-0.1875,small
exp3-PBU-feature-set1-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,8,0.3629818131250787,-0.09375,negligible
exp3-PBU-feature-set1-NO-SMOTE,False,diff_f1,bayes_network,PBU,1,0.5,-1.0,large
exp3-PBU-feature-set1-NO-SMOTE,False,diff_precision,bayes_network,PBU,1,0.5,-1.0,large
exp3-PBU-feature-set1-NO-SMOTE,False,diff_recall,bayes_network,PBU,1,0.5,-1.0,large
exp3-PBU-feature-set1-NO-SMOTE,False,diff_auc,bayes_network,PBU,1,0.5,-1.0,large
exp4-PBU-feature-set1-NO-SMOTE,False,diff_f1,SVC,PBU,2,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_precision,SVC,PBU,2,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_recall,SVC,PBU,2,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_auc,SVC,PBU,2,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_f1,knn_classifier,PBU,4,0.6875,0.25,small
exp4-PBU-feature-set1-NO-SMOTE,False,diff_precision,knn_classifier,PBU,4,0.4375,-0.125,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_recall,knn_classifier,PBU,4,0.6875,0.125,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_auc,knn_classifier,PBU,4,0.4375,-0.125,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_f1,logistic_regression,PBU,3,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_precision,logistic_regression,PBU,3,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_recall,logistic_regression,PBU,3,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_auc,logistic_regression,PBU,3,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,8,0.62890625,0.03125,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,8,0.23046875,-0.21875,small
exp4-PBU-feature-set1-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,8,0.7583483791987148,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,8,0.23046875,-0.25,small
exp4-PBU-feature-set1-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,9,0.01823491517801327,-0.5061728395061729,large
exp4-PBU-feature-set1-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,9,0.10474118785816522,-0.30864197530864196,small
exp4-PBU-feature-set1-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,9,0.01823491517801327,-0.4074074074074074,medium
exp4-PBU-feature-set1-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,9,0.10474118785816522,-0.30864197530864196,small
exp4-PBU-feature-set1-NO-SMOTE,False,diff_f1,bayes_network,PBU,1,1.0,1.0,large
exp4-PBU-feature-set1-NO-SMOTE,False,diff_precision,bayes_network,PBU,1,1.0,1.0,large
exp4-PBU-feature-set1-NO-SMOTE,False,diff_recall,bayes_network,PBU,1,1.0,1.0,large
exp4-PBU-feature-set1-NO-SMOTE,False,diff_auc,bayes_network,PBU,1,1.0,1.0,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_f1,SVC,PBU,2,0.18554668476134878,-0.25,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_precision,SVC,PBU,2,0.18554668476134878,-0.25,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_recall,SVC,PBU,2,0.8144533152386513,0.25,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_auc,SVC,PBU,2,0.18554668476134878,-0.25,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_f1,knn_classifier,PBU,5,0.96875,0.36,medium
exp5-PBU-feature-set1-NO-SMOTE,False,diff_precision,knn_classifier,PBU,5,0.21875,-0.52,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_recall,knn_classifier,PBU,5,0.96875,0.44,medium
exp5-PBU-feature-set1-NO-SMOTE,False,diff_auc,knn_classifier,PBU,5,0.21875,-0.52,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_f1,logistic_regression,PBU,3,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_precision,logistic_regression,PBU,3,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_recall,logistic_regression,PBU,3,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_auc,logistic_regression,PBU,3,0.5,0.0,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,8,0.07421875,-0.25,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,8,0.2734375,-0.28125,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,8,0.47265625,-0.140625,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,8,0.2734375,-0.25,small
exp5-PBU-feature-set1-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,8,0.07074106074139669,-0.484375,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,8,0.36314307443940247,-0.140625,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,8,0.06151259698658525,-0.5,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,8,0.36314307443940247,-0.140625,negligible
exp5-PBU-feature-set1-NO-SMOTE,False,diff_f1,bayes_network,PBU,1,1.0,1.0,large
exp5-PBU-feature-set1-NO-SMOTE,False,diff_precision,bayes_network,PBU,1,1.0,1.0,large
