model,target,experiment,f1_c,f1_cw
SVC,ABU50,exp1-Kendals-ABU50,0.6311300639658849,0.6311300639658849
SVC,BD50,exp1-Kendals-BD50,0.1151079136690647,0.1151079136690647
SVC,PBU,exp1-Kendals-PBU,0.7925202945681824,0.7815330488809042
