model,target,experiment,auc_c,auc_cw
SVC,ABU50,exp1-Kendals-ABU50,0.6103754940711463,0.6103754940711463
SVC,BD50,exp1-Kendals-BD50,0.5776289682539683,0.5762003968253968
SVC,PBU,exp1-Kendals-PBU,0.5163963724447596,0.5078326243648824
