model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'degree': 3, 'random_state': 42, 'C': 0.1, 'kernel': 'poly'}",ABU50,175,49,172,48,444,223,221,175,49,172,48,444,223,221,0.5043227665706052,0.7847533632286996,0.6140350877192982,0.5045045045045045,0.5043227665706052,0.7847533632286996,0.6140350877192982,0.5045045045045045,0.5041414141414141,0.5041414141414141,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 0.1, 'kernel': 'sigmoid'}",ABU50,223,0,221,0,444,223,221,223,0,221,0,444,223,221,0.5022522522522522,1.0,0.6686656671664167,0.5022522522522522,0.5022522522522522,1.0,0.6686656671664167,0.5022522522522522,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
SVC,overall,"{'degree': 2, 'random_state': 42, 'C': 0.1, 'kernel': 'poly'}",ABU50,197,36,185,26,444,223,221,197,36,185,26,444,223,221,0.5157068062827225,0.8834080717488789,0.6512396694214876,0.5247747747747747,0.5157068062827225,0.8834080717488789,0.6512396694214876,0.5247747747747747,0.5232828282828283,0.5232828282828283,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
SVC,overall,"{'degree': 2, 'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",ABU50,203,26,195,20,444,223,221,203,26,195,20,444,223,221,0.5100502512562815,0.9103139013452914,0.6537842190016103,0.5157657657657657,0.5100502512562815,0.9103139013452914,0.6537842190016103,0.5157657657657657,0.513888888888889,0.513888888888889,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",ABU50,128,146,75,95,444,223,221,128,146,75,95,444,223,221,0.6305418719211823,0.5739910313901345,0.6009389671361502,0.6171171171171171,0.6305418719211823,0.5739910313901345,0.6009389671361502,0.6171171171171171,0.6176767676767676,0.6176767676767676,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 15}",ABU50,130,144,77,93,444,223,221,129,146,75,94,444,223,221,0.6280193236714976,0.5829596412556054,0.6046511627906976,0.6171171171171171,0.6323529411764706,0.57847533632287,0.6042154566744731,0.6193693693693694,0.6172727272727272,0.6195959595959597,0.0043336175049729,-0.0044843049327354,-0.0004357061162245,0.0022522522522522,0.0023232323232325,exp37-ABU50-feature-set4-NO-SMOTE,False
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 7, 'metric': 'euclidean'}",ABU50,123,148,73,100,444,223,221,123,148,73,100,444,223,221,0.6275510204081632,0.5515695067264574,0.5871121718377089,0.6103603603603603,0.6275510204081632,0.5515695067264574,0.5871121718377089,0.6103603603603603,0.6105555555555556,0.6105555555555556,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
knn_classifier,overall,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'euclidean'}",ABU50,136,144,77,87,444,223,221,136,144,77,87,444,223,221,0.6384976525821596,0.6098654708520179,0.6238532110091743,0.6306306306306306,0.6384976525821596,0.6098654708520179,0.6238532110091743,0.6306306306306306,0.6306060606060606,0.6306060606060606,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
knn_classifier,overall,"{'n_neighbors': 15, 'weights': 'distance', 'metric': 'euclidean'}",ABU50,118,143,78,105,444,223,221,118,143,78,105,444,223,221,0.6020408163265306,0.5291479820627802,0.5632458233890214,0.5878378378378378,0.6020408163265306,0.5291479820627802,0.5632458233890214,0.5878378378378378,0.5881313131313132,0.5881313131313132,0.0,0.0,0.0,0.0,0.0,exp37-ABU50-feature-set4-NO-SMOTE,False
logistic_regression,overall,"{'random_state': 42, 'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",ABU50,129,123,98,94,444,223,221,127,125,96,96,444,223,221,0.5682819383259912,0.57847533632287,0.5733333333333334,0.5675675675675675,0.5695067264573991,0.5695067264573991,0.5695067264573991,0.5675675675675675,0.5675252525252527,0.5675757575757576,0.0012247881314079,-0.0089686098654708,-0.0038266068759342,0.0,5.050505050496757e-05,exp37-ABU50-feature-set4-NO-SMOTE,False
