model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-09},ABU50,84,126,41,92,343,176,167,92,116,51,84,343,176,167,0.672,0.4772727272727273,0.558139534883721,0.6122448979591837,0.6433566433566433,0.5227272727272727,0.5768025078369905,0.6064139941690962,0.6157257448433919,0.6088048552754435,-0.0286433566433567,0.0454545454545454,0.0186629729532694,-0.0058309037900874,-0.0069208895679484,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
bayes_network,overall,{'var_smoothing': 1e-05},ABU50,84,126,41,92,343,176,167,92,116,51,84,343,176,167,0.672,0.4772727272727273,0.558139534883721,0.6122448979591837,0.6433566433566433,0.5227272727272727,0.5768025078369905,0.6064139941690962,0.6157257448433919,0.6088048552754435,-0.0286433566433567,0.0454545454545454,0.0186629729532694,-0.0058309037900874,-0.0069208895679484,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 0.01}",ABU50,129,74,93,47,343,176,167,122,81,86,54,343,176,167,0.581081081081081,0.7329545454545454,0.6482412060301507,0.5918367346938775,0.5865384615384616,0.6931818181818182,0.6354166666666667,0.5918367346938775,0.587660215601392,0.5884767846532551,0.0054573804573805,-0.0397727272727271,-0.0128245393634839,0.0,0.0008165690518631,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 0.1}",ABU50,127,73,94,49,343,176,167,121,80,87,55,343,176,167,0.5746606334841629,0.7215909090909091,0.6397984886649875,0.5830903790087464,0.5817307692307693,0.6875,0.6302083333333334,0.5860058309037901,0.5793222137339785,0.5825991002461591,0.0070701357466064,-0.034090909090909,-0.009590155331654,0.0029154518950437,0.0032768865121806,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",ABU50,99,96,71,77,343,176,167,100,98,69,76,343,176,167,0.5823529411764706,0.5625,0.5722543352601155,0.5685131195335277,0.591715976331361,0.5681818181818182,0.5797101449275363,0.577259475218659,0.569039979628215,0.5772837619896444,0.0093630351548903,0.0056818181818182,0.0074558096674207,0.0087463556851312,0.0082437823614294,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}",ABU50,94,100,67,82,343,176,167,104,98,69,72,343,176,167,0.5838509316770186,0.5340909090909091,0.5578635014836795,0.565597667638484,0.6011560693641619,0.5909090909090909,0.5959885386819485,0.5889212827988338,0.5663003989474579,0.5888112214582804,0.0173051376871432,0.0568181818181818,0.0381250371982689,0.0233236151603498,0.0225108225108224,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'manhattan'}",ABU50,101,93,74,75,343,176,167,108,94,73,68,343,176,167,0.5771428571428572,0.5738636363636364,0.5754985754985754,0.565597667638484,0.5966850828729282,0.6136363636363636,0.6050420168067228,0.5889212827988338,0.5655937526525763,0.5885446906035141,0.019542225730071,0.0397727272727272,0.0295434413081473,0.0233236151603498,0.0229509379509378,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'manhattan'}",ABU50,95,106,61,81,343,176,167,98,105,62,78,343,176,167,0.6089743589743589,0.5397727272727273,0.5722891566265061,0.5860058309037901,0.6125,0.5568181818181818,0.5833333333333333,0.5918367346938775,0.5873699176640352,0.5923262032085561,0.0035256410256411,0.0170454545454544,0.0110441767068271,0.0058309037900874,0.0049562855445208,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",ABU50,91,100,67,85,343,176,167,97,103,64,79,343,176,167,0.5759493670886076,0.5170454545454546,0.5449101796407186,0.5568513119533528,0.6024844720496895,0.5511363636363636,0.5756676557863503,0.5830903790087464,0.5579768270944742,0.5839236906883966,0.0265351049610819,0.034090909090909,0.0307574761456316,0.0262390670553935,0.0259468635939223,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'distance', 'metric': 'euclidean', 'n_neighbors': 3}",ABU50,100,97,70,76,343,176,167,102,90,77,74,343,176,167,0.5882352941176471,0.5681818181818182,0.5780346820809249,0.5743440233236151,0.5698324022346368,0.5795454545454546,0.5746478873239437,0.5597667638483965,0.5744512350394703,0.5594295900178252,-0.0184028918830102,0.0113636363636363,-0.0033867947569812,-0.0145772594752185,-0.015021645021645,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 3}",ABU50,104,93,74,72,343,176,167,102,87,80,74,343,176,167,0.5842696629213483,0.5909090909090909,0.5875706214689266,0.5743440233236151,0.5604395604395604,0.5795454545454546,0.5698324022346368,0.5510204081632653,0.5739966895849249,0.5501799507681862,-0.0238301024817878,-0.0113636363636363,-0.0177382192342897,-0.0233236151603498,-0.0238167388167387,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
knn_classifier,overall,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}",ABU50,95,105,62,81,343,176,167,93,100,67,83,343,176,167,0.6050955414012739,0.5397727272727273,0.5705705705705706,0.5830903790087464,0.58125,0.5284090909090909,0.5535714285714286,0.5626822157434402,0.5844482641541465,0.5633346065699006,-0.0238455414012738,-0.0113636363636363,-0.0169991419991419,-0.0204081632653061,-0.0211136575842458,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
SVC,overall,"{'C': 0.1, 'random_state': 1699304546, 'kernel': 'rbf', 'degree': 2}",ABU50,88,122,45,88,343,176,167,81,123,44,95,343,176,167,0.6616541353383458,0.5,0.56957928802589,0.6122448979591837,0.648,0.4602272727272727,0.5382059800664453,0.5947521865889213,0.6150233426704016,0.5982221373397844,-0.0136541353383458,-0.0397727272727272,-0.0313733079594447,-0.0174927113702624,-0.0168012053306172,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
SVC,overall,"{'degree': 2, 'C': 1, 'kernel': 'rbf', 'random_state': 1699304546}",ABU50,75,119,48,101,343,176,167,85,112,55,91,343,176,167,0.6097560975609756,0.4261363636363636,0.5016722408026756,0.565597667638484,0.6071428571428571,0.4829545454545454,0.5379746835443038,0.5743440233236151,0.568799337916985,0.5765945165945165,-0.0026132404181185,0.0568181818181818,0.0363024427416281,0.0087463556851311,0.0077951786775315,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
SVC,overall,"{'C': 10, 'degree': 2, 'kernel': 'rbf', 'random_state': 1699304546}",ABU50,80,123,44,96,343,176,167,86,103,64,90,343,176,167,0.6451612903225806,0.4545454545454545,0.5333333333333333,0.5918367346938775,0.5733333333333334,0.4886363636363636,0.5276073619631901,0.5510204081632653,0.5953051523639757,0.5526245649775061,-0.0718279569892472,0.0340909090909091,-0.0057259713701431,-0.0408163265306122,-0.0426805873864696,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
mlp_classifier,overall,"{'learning_rate_init': 0.1, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'momentum': 0.99, 'early_stopping': True}",ABU50,54,126,41,122,343,176,167,134,63,104,42,343,176,167,0.5684210526315789,0.3068181818181818,0.3985239852398524,0.5247813411078717,0.5630252100840336,0.7613636363636364,0.6473429951690821,0.5743440233236151,0.5321127238774297,0.5689287836346659,-0.0053958425475453,0.4545454545454545,0.2488190099292297,0.0495626822157434,0.0368160597572362,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
mlp_classifier,overall,"{'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'alpha': 0.0001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'momentum': 0.99, 'early_stopping': True}",ABU50,123,54,113,53,343,176,167,132,45,122,44,343,176,167,0.5211864406779662,0.6988636363636364,0.5970873786407768,0.5160349854227405,0.5196850393700787,0.75,0.613953488372093,0.5160349854227405,0.5106438332908921,0.5094418979713097,-0.0015014013078874,0.0511363636363636,0.0168661097313161,0.0,-0.0012019353195824,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
mlp_classifier,overall,"{'hidden_layer_sizes': (100,), 'momentum': 0.9, 'alpha': 0.0001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'learning_rate_init': 0.01, 'early_stopping': True}",ABU50,125,66,101,51,343,176,167,139,57,110,37,343,176,167,0.5530973451327433,0.7102272727272727,0.6218905472636816,0.5568513119533528,0.5582329317269076,0.7897727272727273,0.6541176470588235,0.5714285714285714,0.553504371445548,0.5650729988965283,0.0051355865941642,0.0795454545454545,0.0322270997951418,0.0145772594752185,0.0115686274509803,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
mlp_classifier,overall,"{'solver': 'adam', 'hidden_layer_sizes': (100,), 'momentum': 0.9, 'alpha': 0.0001, 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'learning_rate_init': 0.01, 'early_stopping': True}",ABU50,124,75,92,52,343,176,167,132,69,98,44,343,176,167,0.5740740740740741,0.7045454545454546,0.6326530612244898,0.5801749271137027,0.5739130434782609,0.75,0.6502463054187192,0.5860058309037901,0.5767710720651897,0.5812486206603854,-0.0001610305958131,0.0454545454545454,0.0175932441942293,0.0058309037900874,0.0044775485951956,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
mlp_classifier,overall,"{'solver': 'adam', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'momentum': 0.9, 'alpha': 0.0001, 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",ABU50,143,59,108,33,343,176,167,111,82,85,65,343,176,167,0.5697211155378487,0.8125,0.6697892271662764,0.5889212827988338,0.5663265306122449,0.6306818181818182,0.5967741935483871,0.5626822157434402,0.5833350309820898,0.5614667685255921,-0.0033945849256037,-0.1818181818181817,-0.0730150336178893,-0.0262390670553935,-0.0218682624564977,exp46-ABU50-feature-set2-SMOTE,True,warnings_checker_framework,set2
