Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$gc/ds_9$gc_snip_10_shortenText521.java,ds_9$gc_snip_10_shortenText521.java,38,24,14,0,3,1482
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_9_shortenText512.java,ds_9$bc_snip_9_shortenText512.java,35,21,14,0,3,1325
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_8_getMove422.java,ds_9$bc_snip_8_getMove422.java,39,27,12,0,3,1254
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_7_getMove412.java,ds_9$bc_snip_7_getMove412.java,31,19,12,0,3,1098
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_6_writeUTable.java,ds_9$bc_snip_6_writeUTable.java,46,32,14,0,9,1865
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_5_copyUTable312.java,ds_9$bc_snip_5_copyUTable312.java,39,25,14,0,9,1808
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_4_apply222.java,ds_9$bc_snip_4_apply222.java,43,27,16,0,11,1977
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_3_apply212.java,ds_9$bc_snip_3_apply212.java,40,24,16,0,11,1850
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_2_logAndEmailSeriousProblemS122.java,ds_9$bc_snip_2_logAndEmailSeriousProblemS122.java,25,11,14,0,0,1033
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_1_logAndEmailSeriousProblemS112.java,ds_9$bc_snip_1_logAndEmailSeriousProblemS112.java,21,8,13,0,0,885
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_9$bc/ds_9$bc_snip_10_shortenText522.java,ds_9$bc_snip_10_shortenText522.java,38,24,14,0,3,1415
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$SpringBatch_initWriterForSimpleCallbackTests.java,ds_6_snip_5$SpringBatch_initWriterForSimpleCallbackTests.java,31,27,2,2,0,1262
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$Pom_loadClass.java,ds_6_snip_5$Pom_loadClass.java,49,30,19,0,6,2186
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$Phoenix_parseOptions.java,ds_6_snip_5$Phoenix_parseOptions.java,32,23,9,0,4,1255
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$OpenCMSCore_buttonHtml.java,ds_6_snip_5$OpenCMSCore_buttonHtml.java,13,10,3,0,2,800
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$MyExpenses_updateOrClearHeader.java,ds_6_snip_5$MyExpenses_updateOrClearHeader.java,27,22,5,0,14,1336
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$K9_testTextQuoteToHtmlBlockquote.java,ds_6_snip_5$K9_testTextQuoteToHtmlBlockquote.java,9,6,3,0,0,1430
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$HibernateORM_collectionInfoString.java,ds_6_snip_5$HibernateORM_collectionInfoString.java,37,22,15,0,8,1895
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$CarReport_downloadFile.java,ds_6_snip_5$CarReport_downloadFile.java,30,27,3,0,4,1190
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_5$Antlr4Master_testToStringStartStop2.java,ds_6_snip_5$Antlr4Master_testToStringStartStop2.java,43,36,7,0,0,1843
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$SpringBatch_testCustomRecordSeparatorMultilineBlankLineAfterEnd.java,ds_6_snip_4$SpringBatch_testCustomRecordSeparatorMultilineBlankLineAfterEnd.java,32,24,4,4,1,1040
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$Pom_limit.java,ds_6_snip_4$Pom_limit.java,49,33,9,7,7,1302
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$Phoenix_process.java,ds_6_snip_4$Phoenix_process.java,63,59,4,0,14,2498
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$OpenCMSCore_generateContent.java,ds_6_snip_4$OpenCMSCore_generateContent.java,26,10,16,0,0,1349
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$MyExpenses_processChar.java,ds_6_snip_4$MyExpenses_processChar.java,45,43,2,0,25,1775
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$K9_StorageManager.java,ds_6_snip_4$K9_StorageManager.java,30,14,16,0,4,1194
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$HibernateORM_extractSequenceValue.java,ds_6_snip_4$HibernateORM_extractSequenceValue.java,30,26,2,2,1,1207
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_4$CarReport_showFullScreenChart.java,ds_6_snip_4$CarReport_showFullScreenChart.java,49,36,12,1,4,2899
