model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid', 'random_state': 42}",ABU50,223,0,221,0,444,223,221,223,0,221,0,444,223,221,0.5022522522522522,1.0,0.6686656671664167,0.5022522522522522,0.5022522522522522,1.0,0.6686656671664167,0.5022522522522522,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp29-ABU50-feature-set2-NO-SMOTE,False
SVC,overall,"{'C': 0.1, 'degree': 2, 'random_state': 42, 'kernel': 'rbf'}",ABU50,214,11,210,9,444,223,221,214,11,210,9,444,223,221,0.5047169811320755,0.9596412556053812,0.661514683153014,0.5067567567567568,0.5047169811320755,0.9596412556053812,0.661514683153014,0.5067567567567568,0.50489898989899,0.50489898989899,0.0,0.0,0.0,0.0,0.0,exp29-ABU50-feature-set2-NO-SMOTE,False
SVC,overall,"{'C': 0.1, 'kernel': 'poly', 'degree': 2, 'random_state': 42}",ABU50,169,60,161,54,444,223,221,169,60,161,54,444,223,221,0.5121212121212121,0.757847533632287,0.6112115732368897,0.5157657657657657,0.5121212121212121,0.757847533632287,0.6112115732368897,0.5157657657657657,0.512020202020202,0.512020202020202,0.0,0.0,0.0,0.0,0.0,exp29-ABU50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'n_neighbors': 15, 'metric': 'manhattan', 'weights': 'uniform'}",ABU50,132,143,78,91,444,223,221,140,134,87,83,444,223,221,0.6285714285714286,0.5919282511210763,0.6096997690531178,0.6193693693693694,0.6167400881057269,0.6278026905829597,0.6222222222222223,0.6171171171171171,0.6195454545454545,0.6168686868686869,-0.0118313404657016,0.0358744394618834,0.0125224531691044,-0.0022522522522522,-0.0026767676767676,exp29-ABU50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'n_neighbors': 13, 'metric': 'manhattan', 'weights': 'uniform'}",ABU50,129,143,78,94,444,223,221,135,133,88,88,444,223,221,0.6231884057971014,0.57847533632287,0.6,0.6126126126126126,0.6053811659192825,0.6053811659192825,0.6053811659192825,0.6036036036036037,0.6125252525252526,0.6035353535353536,-0.0178072398778189,0.0269058295964125,0.0053811659192825,-0.0090090090090089,-0.0089898989898989,exp29-ABU50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",ABU50,124,139,82,99,444,223,221,132,128,93,91,444,223,221,0.6019417475728155,0.5560538116591929,0.578088578088578,0.5923423423423423,0.5866666666666667,0.5919282511210763,0.5892857142857143,0.5855855855855856,0.5922727272727273,0.5855555555555555,-0.0152750809061488,0.0358744394618834,0.0111971361971362,-0.0067567567567566,-0.0067171717171717,exp29-ABU50-feature-set2-NO-SMOTE,False
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",ABU50,118,140,81,105,444,223,221,130,136,85,93,444,223,221,0.592964824120603,0.5291479820627802,0.5592417061611374,0.581081081081081,0.6046511627906976,0.5829596412556054,0.593607305936073,0.5990990990990991,0.5811616161616161,0.598989898989899,0.0116863386700946,0.0538116591928251,0.0343655997749355,0.018018018018018,0.0178282828282828,exp29-ABU50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear', 'random_state': 42}",ABU50,152,81,140,71,444,223,221,152,81,140,71,444,223,221,0.5205479452054794,0.6816143497757847,0.5902912621359222,0.5247747747747747,0.5205479452054794,0.6816143497757847,0.5902912621359222,0.5247747747747747,0.5231818181818182,0.5231818181818182,0.0,0.0,0.0,0.0,0.0,exp29-ABU50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'C': 5, 'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42}",ABU50,153,135,86,70,444,223,221,152,133,88,71,444,223,221,0.6401673640167364,0.6860986547085202,0.6623376623376623,0.6486486486486487,0.6333333333333333,0.6816143497757847,0.6565874730021598,0.6418918918918919,0.6486363636363637,0.6418686868686868,-0.006834030683403,-0.0044843049327354,-0.0057501893355025,-0.0067567567567567,-0.0067676767676768,exp29-ABU50-feature-set2-NO-SMOTE,False
logistic_regression,overall,"{'C': 5, 'penalty': 'l1', 'solver': 'liblinear', 'random_state': 42}",ABU50,152,136,85,71,444,223,221,151,134,87,72,444,223,221,0.6413502109704642,0.6816143497757847,0.6608695652173914,0.6486486486486487,0.634453781512605,0.6771300448430493,0.6550976138828633,0.6418918918918919,0.6485858585858586,0.6418181818181818,-0.0068964294578591,-0.0044843049327354,-0.0057719513345281,-0.0067567567567567,-0.0067676767676767,exp29-ABU50-feature-set2-NO-SMOTE,False
