model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-05},PBU,202,25,73,44,344,246,98,198,25,73,48,344,246,98,0.7345454545454545,0.8211382113821138,0.7754318618042226,0.6598837209302325,0.7306273062730627,0.8048780487804879,0.7659574468085106,0.6482558139534884,0.5379398496240603,0.5297765843179377,-0.0039181482723917,-0.0162601626016259,-0.009474414995712,-0.011627906976744,-0.0081632653061225,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
logistic_regression,overall,"{'random_state': 1699304546, 'penalty': 'l1', 'solver': 'saga', 'C': 100000000.0}",PBU,246,0,98,0,344,246,98,246,0,98,0,344,246,98,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 15}",PBU,237,5,93,9,344,246,98,237,5,93,9,344,246,98,0.7181818181818181,0.9634146341463414,0.8229166666666666,0.7034883720930233,0.7181818181818181,0.9634146341463414,0.8229166666666666,0.7034883720930233,0.5070590762620839,0.5070590762620839,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
knn_classifier,overall,"{'n_neighbors': 13, 'metric': 'euclidean', 'weights': 'uniform'}",PBU,234,4,94,12,344,246,98,234,4,94,12,344,246,98,0.7134146341463414,0.951219512195122,0.8153310104529616,0.6918604651162791,0.7134146341463414,0.951219512195122,0.8153310104529616,0.6918604651162791,0.4959366272824919,0.4959366272824919,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
knn_classifier,overall,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}",PBU,225,7,91,21,344,246,98,225,7,91,21,344,246,98,0.7120253164556962,0.9146341463414634,0.800711743772242,0.6744186046511628,0.7120253164556962,0.9146341463414634,0.800711743772242,0.6744186046511628,0.4925692803437164,0.4925692803437164,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'manhattan'}",PBU,234,8,90,12,344,246,98,234,8,90,12,344,246,98,0.7222222222222222,0.951219512195122,0.8210526315789473,0.7034883720930233,0.7222222222222222,0.951219512195122,0.8210526315789473,0.7034883720930233,0.5161997851772288,0.5161997851772288,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
SVC,overall,"{'C': 0.1, 'random_state': 1699304546, 'kernel': 'rbf', 'degree': 2}",PBU,246,0,98,0,344,246,98,246,0,98,0,344,246,98,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
mlp_classifier,overall,"{'solver': 'adam', 'momentum': 0.9, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'learning_rate_init': 0.01, 'early_stopping': True}",PBU,246,0,98,0,344,246,98,246,0,98,0,344,246,98,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
mlp_classifier,overall,"{'momentum': 0.9, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",PBU,246,0,98,0,344,246,98,222,10,88,24,344,246,98,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.7161290322580646,0.902439024390244,0.7985611510791367,0.6744186046511628,0.5,0.5040418904403867,0.001012753188297,-0.097560975609756,-0.0353371540056091,-0.0406976744186047,0.0040418904403867,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
mlp_classifier,overall,"{'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'momentum': 0.95, 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",PBU,241,3,95,5,344,246,98,234,7,91,12,344,246,98,0.7172619047619048,0.9796747967479674,0.8281786941580757,0.7093023255813954,0.72,0.951219512195122,0.8196147110332749,0.7005813953488372,0.5047959183673469,0.5128421052631579,0.0027380952380952,-0.0284552845528455,-0.0085639831248007,-0.0087209302325581,0.0080461868958109,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
mlp_classifier,overall,"{'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'momentum': 0.99, 'early_stopping': True}",PBU,236,3,95,10,344,246,98,212,12,86,34,344,246,98,0.7129909365558912,0.959349593495935,0.8180242634315423,0.6947674418604651,0.7114093959731543,0.8617886178861789,0.7794117647058822,0.6511627906976745,0.4948367346938775,0.4945273899033298,-0.0015815405827368,-0.097560975609756,-0.03861249872566,-0.0436046511627906,-0.0003093447905477,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'min_samples_split': 15, 'random_state': 1699304546, 'n_estimators': 50, 'max_depth': 5, 'bootstrap': True, 'max_features': 0.1}",PBU,233,5,93,13,344,246,98,231,7,91,15,344,246,98,0.7147239263803681,0.9471544715447154,0.8146853146853147,0.6918604651162791,0.717391304347826,0.9390243902439024,0.8133802816901408,0.6918604651162791,0.4988549946294308,0.5047733619763696,0.0026673779674579,-0.008130081300813,-0.0013050329951739,0.0,0.0059183673469387,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'max_depth': 10, 'n_estimators': 100, 'min_samples_leaf': 4, 'random_state': 1699304546, 'bootstrap': True, 'min_samples_split': 10, 'max_features': 0.1}",PBU,222,12,86,24,344,246,98,225,11,87,21,344,246,98,0.7207792207792207,0.902439024390244,0.8014440433212996,0.6802325581395349,0.7211538461538461,0.9146341463414634,0.8064516129032259,0.686046511627907,0.51209559613319,0.5128732545649839,0.0003746253746254,0.0121951219512195,0.0050075695819262,0.0058139534883721,0.0007776584317938,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'min_samples_leaf': 5, 'n_estimators': 100, 'random_state': 1699304546, 'min_samples_split': 2, 'max_depth': 5, 'bootstrap': True, 'max_features': 0.1}",PBU,231,4,94,15,344,246,98,231,8,90,15,344,246,98,0.7107692307692308,0.9390243902439024,0.8091068301225919,0.6831395348837209,0.719626168224299,0.9390243902439024,0.8148148148148148,0.6947674418604651,0.4897733619763695,0.5097733619763696,0.0088569374550682,0.0,0.0057079846922228,0.0116279069767442,0.02,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'min_samples_split': 15, 'random_state': 1699304546, 'max_depth': 5, 'bootstrap': True, 'max_features': 'sqrt', 'n_estimators': 10}",PBU,228,11,87,18,344,246,98,232,6,92,14,344,246,98,0.7238095238095238,0.926829268292683,0.8128342245989305,0.6947674418604651,0.7160493827160493,0.943089430894309,0.8140350877192982,0.6918604651162791,0.5195220193340495,0.5016326530612245,-0.0077601410934744,0.0162601626016259,0.0012008631203677,-0.002906976744186,-0.017889366272825,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'min_samples_leaf': 4, 'random_state': 1699304546, 'min_samples_split': 2, 'max_depth': 5, 'n_estimators': 50, 'bootstrap': True, 'max_features': 0.1}",PBU,227,8,90,19,344,246,98,230,12,86,16,344,246,98,0.7160883280757098,0.9227642276422764,0.8063943161634102,0.6831395348837209,0.7278481012658228,0.934959349593496,0.8185053380782918,0.7034883720930233,0.5016917293233083,0.52856283566058,0.011759773190113,0.0121951219512195,0.0121110219148816,0.0203488372093023,0.0268711063372717,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'max_depth': 10, 'bootstrap': False, 'min_samples_split': 5, 'random_state': 1699304546, 'n_estimators': 10, 'min_samples_leaf': 2, 'max_features': 0.1}",PBU,206,17,81,40,344,246,98,208,22,76,38,344,246,98,0.7177700348432056,0.8373983739837398,0.7729831144465291,0.6482558139534884,0.7323943661971831,0.8455284552845529,0.7849056603773586,0.6686046511627907,0.5051503759398497,0.5348807733619764,0.0146243313539775,0.008130081300813,0.0119225459308295,0.0203488372093022,0.0297303974221266,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 15, 'random_state': 1699304546, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.1}",PBU,227,12,86,19,344,246,98,229,11,87,17,344,246,98,0.7252396166134185,0.9227642276422764,0.8121645796064401,0.6947674418604651,0.7246835443037974,0.9308943089430894,0.8149466192170818,0.6976744186046512,0.5230483351235231,0.5215220193340494,-0.000556072309621,0.008130081300813,0.0027820396106417,0.002906976744186,-0.0015263157894737,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
randomForest_classifier,overall,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 15, 'random_state': 1699304546, 'bootstrap': True, 'max_features': 'sqrt', 'n_estimators': 100}",PBU,225,11,87,21,344,246,98,222,9,89,24,344,246,98,0.7211538461538461,0.9146341463414634,0.8064516129032259,0.686046511627907,0.7138263665594855,0.902439024390244,0.7971274685816876,0.6715116279069767,0.512610096670247,0.4965284640171858,-0.0073274795943606,-0.0121951219512195,-0.0093241443215382,-0.0145348837209302,-0.0160816326530612,exp34-PBU-feature-set2-NO-SMOTE,False,warnings_openjml,set2
