model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-09},BD50,27,201,71,44,343,71,272,26,200,72,45,343,71,272,0.2755102040816326,0.380281690140845,0.3195266272189349,0.6647230320699709,0.2653061224489796,0.3661971830985915,0.3076923076923077,0.6588921282798834,0.5606493506493507,0.5516546416546416,-0.010204081632653,-0.0140845070422535,-0.0118343195266272,-0.0058309037900874,-0.0089947089947091,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
logistic_regression,overall,"{'C': 1, 'random_state': 1699304546, 'solver': 'liblinear', 'penalty': 'l1'}",BD50,12,261,11,59,343,71,272,12,261,11,59,343,71,272,0.5217391304347826,0.1690140845070422,0.2553191489361702,0.7959183673469388,0.5217391304347826,0.1690140845070422,0.2553191489361702,0.7959183673469388,0.5645935545935545,0.5645935545935545,0.0,0.0,0.0,0.0,0.0,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 100000000.0}",BD50,12,261,11,59,343,71,272,14,264,8,57,343,71,272,0.5217391304347826,0.1690140845070422,0.2553191489361702,0.7959183673469388,0.6363636363636364,0.1971830985915492,0.3010752688172043,0.8104956268221575,0.5645598845598845,0.5843338143338144,0.1146245059288537,0.028169014084507,0.0457561198810341,0.0145772594752187,0.0197739297739298,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 10}",BD50,13,265,7,58,343,71,272,14,264,8,57,343,71,272,0.65,0.1830985915492957,0.2857142857142857,0.8104956268221575,0.6363636363636364,0.1971830985915492,0.3010752688172043,0.8104956268221575,0.579009139009139,0.5843338143338144,-0.0136363636363636,0.0140845070422535,0.0153609831029185,0.0,0.0053246753246753,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 100000000.0}",BD50,13,265,7,58,343,71,272,14,264,8,57,343,71,272,0.65,0.1830985915492957,0.2857142857142857,0.8104956268221575,0.6363636363636364,0.1971830985915492,0.3010752688172043,0.8104956268221575,0.579009139009139,0.5843338143338144,-0.0136363636363636,0.0140845070422535,0.0153609831029185,0.0,0.0053246753246753,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 5}",BD50,12,261,11,59,343,71,272,13,263,9,58,343,71,272,0.5217391304347826,0.1690140845070422,0.2553191489361702,0.7959183673469388,0.5909090909090909,0.1830985915492957,0.2795698924731183,0.8046647230320699,0.5645935545935545,0.5753727753727754,0.0691699604743083,0.0140845070422535,0.0242507435369481,0.0087463556851311,0.0107792207792208,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'manhattan'}",BD50,12,240,32,59,343,71,272,12,240,32,59,343,71,272,0.2727272727272727,0.1690140845070422,0.208695652173913,0.7346938775510204,0.2727272727272727,0.1690140845070422,0.208695652173913,0.7346938775510204,0.5254304954304955,0.5254304954304955,0.0,0.0,0.0,0.0,0.0,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
knn_classifier,overall,"{'weights': 'distance', 'metric': 'euclidean', 'n_neighbors': 3}",BD50,15,232,40,56,343,71,272,15,232,40,56,343,71,272,0.2727272727272727,0.2112676056338028,0.238095238095238,0.7201166180758017,0.2727272727272727,0.2112676056338028,0.238095238095238,0.7201166180758017,0.5326551226551226,0.5326551226551226,0.0,0.0,0.0,0.0,0.0,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
knn_classifier,overall,"{'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}",BD50,14,234,38,57,343,71,272,14,234,38,57,343,71,272,0.2692307692307692,0.1971830985915492,0.2276422764227642,0.7230320699708455,0.2692307692307692,0.1971830985915492,0.2276422764227642,0.7230320699708455,0.5296248196248197,0.5296248196248197,0.0,0.0,0.0,0.0,0.0,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 3}",BD50,14,238,34,57,343,71,272,14,238,34,57,343,71,272,0.2916666666666667,0.1971830985915492,0.2352941176470588,0.7346938775510204,0.2916666666666667,0.1971830985915492,0.2352941176470588,0.7346938775510204,0.5360125060125059,0.5360125060125059,0.0,0.0,0.0,0.0,0.0,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
knn_classifier,overall,"{'weights': 'distance', 'n_neighbors': 5, 'metric': 'manhattan'}",BD50,11,242,30,60,343,71,272,11,242,30,60,343,71,272,0.2682926829268293,0.1549295774647887,0.1964285714285714,0.7376093294460642,0.2682926829268293,0.1549295774647887,0.1964285714285714,0.7376093294460642,0.5224001924001923,0.5224001924001923,0.0,0.0,0.0,0.0,0.0,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
SVC,overall,"{'degree': 2, 'kernel': 'sigmoid', 'C': 1, 'random_state': 1699304546}",BD50,5,238,34,66,343,71,272,4,247,25,67,343,71,272,0.1282051282051282,0.0704225352112676,0.0909090909090909,0.7084548104956269,0.1379310344827586,0.056338028169014,0.0799999999999999,0.7317784256559767,0.4727128427128427,0.4819336219336219,0.0097259062776304,-0.0140845070422535,-0.0109090909090909,0.0233236151603498,0.0092207792207791,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
mlp_classifier,overall,"{'solver': 'adam', 'hidden_layer_sizes': (100,), 'momentum': 0.9, 'learning_rate_init': 0.001, 'alpha': 0.0001, 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",BD50,5,261,11,66,343,71,272,11,233,39,60,343,71,272,0.3125,0.0704225352112676,0.1149425287356321,0.7755102040816326,0.22,0.1549295774647887,0.1818181818181818,0.7113702623906706,0.5155459355459355,0.5053583453583453,-0.0925,0.0845070422535211,0.0668756530825496,-0.064139941690962,-0.0101875901875901,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
mlp_classifier,overall,"{'hidden_layer_sizes': (50, 100, 50), 'learning_rate_init': 0.001, 'alpha': 0.0001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'momentum': 0.95, 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",BD50,3,259,13,68,343,71,272,0,272,0,71,343,71,272,0.1875,0.0422535211267605,0.0689655172413793,0.7638483965014577,,0.0,,0.793002915451895,0.4977248677248677,0.5,,-0.0422535211267605,,0.0291545189504373,0.0022751322751323,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
mlp_classifier,overall,"{'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'momentum': 0.99, 'early_stopping': True}",BD50,0,272,0,71,343,71,272,0,267,5,71,343,71,272,,0.0,,0.793002915451895,0.0,0.0,,0.7784256559766763,0.5,0.4907407407407407,,0.0,,-0.0145772594752187,-0.0092592592592592,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'max_depth': 10, 'bootstrap': False, 'min_samples_leaf': 1, 'random_state': 1699304546, 'n_estimators': 50, 'max_features': 0.5, 'min_samples_split': 10}",BD50,14,249,23,57,343,71,272,11,243,29,60,343,71,272,0.3783783783783784,0.1971830985915492,0.2592592592592592,0.7667638483965015,0.275,0.1549295774647887,0.1981981981981981,0.7405247813411079,0.5567917267917267,0.524011544011544,-0.1033783783783783,-0.0422535211267605,-0.061061061061061,-0.0262390670553935,-0.0327801827801826,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'max_depth': 10, 'bootstrap': False, 'min_samples_leaf': 1, 'min_samples_split': 15, 'random_state': 1699304546, 'max_features': 0.5, 'n_estimators': 10}",BD50,15,249,23,56,343,71,272,12,249,23,59,343,71,272,0.3947368421052631,0.2112676056338028,0.2752293577981651,0.7696793002915452,0.3428571428571428,0.1690140845070422,0.2264150943396226,0.760932944606414,0.5635257335257335,0.541996151996152,-0.0518796992481203,-0.0422535211267605,-0.0488142634585424,-0.0087463556851311,-0.0215295815295815,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'bootstrap': False, 'min_samples_split': 5, 'random_state': 1699304546, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_estimators': 10}",BD50,9,257,15,62,343,71,272,5,260,12,66,343,71,272,0.375,0.1267605633802817,0.1894736842105263,0.7755102040816326,0.2941176470588235,0.0704225352112676,0.1136363636363636,0.7725947521865889,0.5357912457912457,0.5126406926406926,-0.0808823529411764,-0.056338028169014,-0.0758373205741626,-0.0029154518950437,-0.0231505531505531,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'bootstrap': False, 'min_samples_split': 15, 'random_state': 1699304546, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 2, 'n_estimators': 10}",BD50,8,260,12,63,343,71,272,4,262,10,67,343,71,272,0.4,0.1126760563380281,0.1758241758241758,0.7813411078717201,0.2857142857142857,0.056338028169014,0.0941176470588235,0.7755102040816326,0.5336267436267436,0.5096777296777297,-0.1142857142857143,-0.056338028169014,-0.0817065287653523,-0.0058309037900874,-0.0239490139490138,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'max_depth': 10, 'min_samples_leaf': 1, 'random_state': 1699304546, 'min_samples_split': 2, 'bootstrap': True, 'n_estimators': 10, 'max_features': 0.1}",BD50,9,237,35,62,343,71,272,10,241,31,61,343,71,272,0.2045454545454545,0.1267605633802817,0.1565217391304348,0.717201166180758,0.2439024390243902,0.1408450704225352,0.1785714285714285,0.7317784256559767,0.4994324194324194,0.5139153439153439,0.0393569844789356,0.0140845070422535,0.0220496894409937,0.0145772594752187,0.0144829244829244,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'bootstrap': False, 'min_samples_leaf': 1, 'random_state': 1699304546, 'max_features': 0.5, 'min_samples_split': 10, 'max_depth': 20, 'n_estimators': 10}",BD50,13,245,27,58,343,71,272,9,238,34,62,343,71,272,0.325,0.1830985915492957,0.2342342342342342,0.7521865889212828,0.2093023255813953,0.1267605633802817,0.1578947368421052,0.7201166180758017,0.5417652717652717,0.5013852813852815,-0.1156976744186046,-0.056338028169014,-0.0763394973921289,-0.032069970845481,-0.0403799903799901,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'bootstrap': False, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 1699304546, 'max_features': 0.5, 'max_depth': 20, 'n_estimators': 10}",BD50,12,231,41,59,343,71,272,10,234,38,61,343,71,272,0.2264150943396226,0.1690140845070422,0.1935483870967742,0.7084548104956269,0.2083333333333333,0.1408450704225352,0.1680672268907563,0.7113702623906706,0.5098172198172198,0.5011880711880711,-0.0180817610062893,-0.028169014084507,-0.0254811602060178,0.0029154518950437,-0.0086291486291487,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'max_depth': 10, 'bootstrap': False, 'min_samples_leaf': 1, 'random_state': 1699304546, 'min_samples_split': 2, 'max_features': 'sqrt', 'n_estimators': 10}",BD50,10,227,45,61,343,71,272,11,229,43,60,343,71,272,0.1818181818181818,0.1408450704225352,0.1587301587301587,0.6909620991253644,0.2037037037037037,0.1549295774647887,0.176,0.6997084548104956,0.4882251082251082,0.4989706589706589,0.0218855218855218,0.0140845070422535,0.0172698412698412,0.0087463556851311,0.0107455507455507,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'bootstrap': False, 'random_state': 1699304546, 'max_depth': 5, 'max_features': 0.5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 10}",BD50,12,259,13,59,343,71,272,4,259,13,67,343,71,272,0.48,0.1690140845070422,0.25,0.7900874635568513,0.2352941176470588,0.056338028169014,0.0909090909090909,0.7667638483965015,0.5603463203463204,0.5041895141895141,-0.2447058823529411,-0.1126760563380281,-0.1590909090909091,-0.0233236151603498,-0.0561568061568062,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
randomForest_classifier,overall,"{'bootstrap': False, 'min_samples_split': 5, 'random_state': 1699304546, 'max_features': 0.5, 'min_samples_leaf': 2, 'max_depth': 20, 'n_estimators': 10}",BD50,11,240,32,60,343,71,272,11,243,29,60,343,71,272,0.2558139534883721,0.1549295774647887,0.1929824561403508,0.7317784256559767,0.275,0.1549295774647887,0.1981981981981981,0.7405247813411079,0.5192400192400192,0.5247619047619048,0.0191860465116279,0.0,0.0052157420578473,0.0087463556851311,0.0055218855218855,exp23-BD50-feature-set1-NO-SMOTE,False,warnings_infer,set1
