model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'C': 0.1, 'kernel': 'poly', 'degree': 4, 'random_state': 42}",BD50,67,88,270,19,444,86,358,67,90,268,19,444,86,358,0.1988130563798219,0.7790697674418605,0.3167848699763593,0.3490990990990991,0.2,0.7790697674418605,0.3182897862232779,0.3536036036036036,0.5124102457884562,0.5152271471969069,0.001186943620178,0.0,0.0015049162469186,0.0045045045045045,0.0028169014084507,exp113-BD50-feature-set3-SMOTE,True
SVC,overall,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid', 'random_state': 42}",BD50,71,112,246,15,444,86,358,71,107,251,15,444,86,358,0.22397476340694,0.8255813953488372,0.3523573200992555,0.4121621621621621,0.2204968944099379,0.8255813953488372,0.3480392156862745,0.4009009009009009,0.5687954524532819,0.561792322562828,-0.0034778689970021,0.0,-0.0043181044129809,-0.0112612612612612,-0.0070031298904539,exp113-BD50-feature-set3-SMOTE,True
SVC,overall,"{'C': 10, 'degree': 2, 'random_state': 42, 'kernel': 'rbf'}",BD50,55,178,180,31,444,86,358,55,178,180,31,444,86,358,0.2340425531914893,0.6395348837209303,0.3426791277258567,0.5247747747747747,0.2340425531914893,0.6395348837209303,0.3426791277258567,0.5247747747747747,0.5687943017582621,0.5687943017582621,0.0,0.0,0.0,0.0,0.0,exp113-BD50-feature-set3-SMOTE,True
SVC,overall,"{'kernel': 'poly', 'C': 1, 'degree': 4, 'random_state': 42}",BD50,68,94,264,18,444,86,358,67,82,276,19,444,86,358,0.2048192771084337,0.7906976744186046,0.3253588516746411,0.3648648648648648,0.19533527696793,0.7790697674418605,0.3123543123543123,0.3355855855855856,0.5267628647703212,0.5043645862100709,-0.0094840001405037,-0.011627906976744,-0.0130045393203288,-0.0292792792792792,-0.0223982785602503,exp113-BD50-feature-set3-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 15, 'metric': 'manhattan', 'weights': 'uniform'}",BD50,47,218,140,39,444,86,358,47,218,140,39,444,86,358,0.2513368983957219,0.5465116279069767,0.3443223443223443,0.5968468468468469,0.2513368983957219,0.5465116279069767,0.3443223443223443,0.5968468468468469,0.5784727975697321,0.5784727975697321,0.0,0.0,0.0,0.0,0.0,exp113-BD50-feature-set3-SMOTE,True
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",BD50,47,216,142,39,444,86,358,47,216,142,39,444,86,358,0.2486772486772486,0.5465116279069767,0.3418181818181817,0.5923423423423423,0.2486772486772486,0.5465116279069767,0.3418181818181817,0.5923423423423423,0.5756558961612814,0.5756558961612814,0.0,0.0,0.0,0.0,0.0,exp113-BD50-feature-set3-SMOTE,True
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",BD50,48,220,138,38,444,86,358,48,220,138,38,444,86,358,0.2580645161290322,0.5581395348837209,0.3529411764705882,0.6036036036036037,0.2580645161290322,0.5581395348837209,0.3529411764705882,0.6036036036036037,0.5871133664733499,0.5871133664733499,0.0,0.0,0.0,0.0,0.0,exp113-BD50-feature-set3-SMOTE,True
logistic_regression,overall,"{'C': 5, 'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42}",BD50,49,247,111,37,444,86,358,50,245,113,36,444,86,358,0.30625,0.5697674418604651,0.3983739837398374,0.6666666666666666,0.3067484662576687,0.5813953488372093,0.4016064257028112,0.6644144144144144,0.6303058547362608,0.6334104298996595,0.0004984662576686,0.0116279069767442,0.0032324419629737,-0.0022522522522522,0.0031045751633986,exp113-BD50-feature-set3-SMOTE,True
logistic_regression,overall,"{'C': 5, 'penalty': 'l1', 'solver': 'liblinear', 'random_state': 42}",BD50,48,248,110,38,444,86,358,49,247,111,37,444,86,358,0.3037974683544304,0.5581395348837209,0.3934426229508196,0.6666666666666666,0.30625,0.5697674418604651,0.3983739837398374,0.6666666666666666,0.6258319524993097,0.6303449783669336,0.0024525316455696,0.0116279069767442,0.0049313607890177,0.0,0.0045130258676239,exp113-BD50-feature-set3-SMOTE,True
logistic_regression,overall,"{'penalty': 'l1', 'C': 100000000.0, 'solver': 'liblinear', 'random_state': 42}",BD50,49,246,112,37,444,86,358,49,247,111,37,444,86,358,0.3043478260869565,0.5697674418604651,0.3967611336032389,0.6644144144144144,0.30625,0.5697674418604651,0.3983739837398374,0.6666666666666666,0.6289365276627082,0.6303449783669336,0.0019021739130434,0.0,0.0016128501365985,0.0022522522522522,0.0014084507042253,exp113-BD50-feature-set3-SMOTE,True
logistic_regression,overall,"{'solver': 'liblinear', 'C': 1, 'penalty': 'l2', 'random_state': 42}",BD50,49,244,114,37,444,86,358,50,246,112,36,444,86,358,0.3006134969325153,0.5697674418604651,0.393574297188755,0.6599099099099099,0.3086419753086419,0.5813953488372093,0.4032258064516129,0.6666666666666666,0.6260805026235847,0.6347993187885483,0.0080284783761266,0.0116279069767442,0.0096515092628579,0.0067567567567566,0.0087188161649636,exp113-BD50-feature-set3-SMOTE,True
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1, 'random_state': 42}",BD50,49,246,112,37,444,86,358,50,243,115,36,444,86,358,0.3043478260869565,0.5697674418604651,0.3967611336032389,0.6644144144144144,0.303030303030303,0.5813953488372093,0.398406374501992,0.6599099099099099,0.628877842216699,0.6305935284912086,-0.0013175230566535,0.0116279069767442,0.0016452408987531,-0.0045045045045044,0.0017156862745096,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'bootstrap': True, 'random_state': 42, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.1, 'n_estimators': 10}",BD50,42,243,115,44,444,86,358,42,230,128,44,444,86,358,0.267515923566879,0.4883720930232558,0.345679012345679,0.6418918918918919,0.2470588235294117,0.4883720930232558,0.328125,0.6126126126126126,0.5834564577004511,0.5653226548835497,-0.0204571000374672,0.0,-0.017554012345679,-0.0292792792792793,-0.0181338028169013,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 2, 'bootstrap': True, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 42, 'max_depth': 5, 'min_samples_leaf': 5}",BD50,42,241,117,44,444,86,358,42,237,121,44,444,86,358,0.2641509433962264,0.4883720930232558,0.3428571428571428,0.6373873873873874,0.2576687116564417,0.4883720930232558,0.3373493975903614,0.6283783783783784,0.5810446009389671,0.5754694835680751,-0.0064822317397846,0.0,-0.0055077452667814,-0.009009009009009,-0.005575117370892,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 15, 'min_samples_leaf': 4, 'bootstrap': True, 'max_features': 'sqrt', 'random_state': 42, 'max_depth': 5, 'n_estimators': 10}",BD50,45,229,129,41,444,86,358,38,239,119,48,444,86,358,0.2586206896551724,0.5232558139534884,0.3461538461538462,0.6171171171171171,0.2420382165605095,0.4418604651162791,0.3127572016460905,0.6238738738738738,0.5818880603884746,0.5546200405044647,-0.0165824730946628,-0.0813953488372093,-0.0333966445077557,0.0067567567567566,-0.0272680198840099,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 15, 'min_samples_leaf': 1, 'bootstrap': True, 'max_features': 'sqrt', 'random_state': 42, 'max_depth': 5, 'n_estimators': 10}",BD50,44,229,129,42,444,86,358,38,241,117,48,444,86,358,0.2543352601156069,0.5116279069767442,0.3397683397683397,0.6148648648648649,0.2451612903225806,0.4418604651162791,0.3153526970954357,0.6283783783783784,0.5760057074472982,0.5573978182822424,-0.0091739697930262,-0.0697674418604651,-0.024415642672904,0.0135135135135134,-0.0186078891650557,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 15, 'min_samples_leaf': 4, 'bootstrap': True, 'random_state': 42, 'max_depth': 5, 'max_features': 0.1, 'n_estimators': 10}",BD50,40,243,115,46,444,86,358,41,223,135,45,444,86,358,0.2580645161290322,0.4651162790697674,0.3319502074688797,0.6373873873873874,0.2329545454545454,0.4767441860465116,0.3129770992366412,0.5945945945945946,0.5720381110190556,0.5489275522415539,-0.0251099706744868,0.0116279069767442,-0.0189731082322385,-0.0427927927927928,-0.0231105587775016,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 15, 'min_samples_leaf': 4, 'n_estimators': 50, 'max_features': 'sqrt', 'random_state': 42, 'max_depth': 5, 'bootstrap': False}",BD50,46,230,128,40,444,86,358,45,233,125,41,444,86,358,0.264367816091954,0.5348837209302325,0.3538461538461538,0.6216216216216216,0.2647058823529412,0.5232558139534884,0.3515625,0.6261261261261262,0.588871628463592,0.5871559421890822,0.0003380662609871,-0.011627906976744,-0.0022836538461537,0.0045045045045045,-0.0017156862745097,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 15, 'bootstrap': True, 'max_features': 'sqrt', 'random_state': 42, 'max_depth': 5, 'n_estimators': 10, 'min_samples_leaf': 5}",BD50,45,230,128,41,444,86,358,40,238,120,46,444,86,358,0.2601156069364161,0.5232558139534884,0.3474903474903475,0.6193693693693694,0.25,0.4651162790697674,0.3252032520325204,0.6261261261261262,0.5832769492773636,0.5649958574979287,-0.0101156069364161,-0.0581395348837209,-0.0222870954578271,0.0067567567567567,-0.0182810917794349,exp113-BD50-feature-set3-SMOTE,True
randomForest_classifier,overall,"{'min_samples_split': 15, 'bootstrap': True, 'random_state': 42, 'max_depth': 5, 'max_features': 0.1, 'n_estimators': 10, 'min_samples_leaf': 5}",BD50,40,245,113,46,444,86,358,41,230,128,45,444,86,358,0.261437908496732,0.4651162790697674,0.3347280334728034,0.6418918918918919,0.2426035502958579,0.4767441860465116,0.3215686274509804,0.6103603603603603,0.5748158887968333,0.5587671453557949,-0.018834358200874,0.0116279069767442,-0.0131594060218229,-0.0315315315315315,-0.0160487434410384,exp113-BD50-feature-set3-SMOTE,True
mlp_classifier,overall,"{'momentum': 0.95, 'activation': 'relu', 'learning_rate': 'constant', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'solver': 'sgd', 'hidden_layer_sizes': (100,), 'random_state': 42, 'max_iter': 200, 'early_stopping': True}",BD50,77,106,252,9,444,86,358,61,149,209,25,444,86,358,0.2340425531914893,0.8953488372093024,0.3710843373493976,0.4121621621621621,0.2259259259259259,0.7093023255813954,0.3426966292134831,0.4729729729729729,0.5955997422443156,0.5606819018687288,-0.0081166272655634,-0.1860465116279069,-0.0283877081359145,0.0608108108108108,-0.0349178403755867,exp113-BD50-feature-set3-SMOTE,True
mlp_classifier,overall,"{'activation': 'relu', 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'random_state': 42, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 200, 'momentum': 0.9, 'early_stopping': True, 'solver': 'adam'}",BD50,41,245,113,45,444,86,358,52,171,187,34,444,86,358,0.2662337662337662,0.4767441860465116,0.3416666666666666,0.6441441441441441,0.2175732217573222,0.6046511627906976,0.32,0.5022522522522522,0.5807707355242566,0.5418243118843782,-0.048660544476444,0.127906976744186,-0.0216666666666666,-0.1418918918918918,-0.0389464236398784,exp113-BD50-feature-set3-SMOTE,True
mlp_classifier,overall,"{'activation': 'relu', 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd', 'random_state': 42, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 200, 'momentum': 0.9, 'early_stopping': True}",BD50,58,155,203,28,444,86,358,38,215,143,48,444,86,358,0.2222222222222222,0.6744186046511628,0.3342939481268011,0.4797297297297297,0.2099447513812154,0.4418604651162791,0.2846441947565543,0.5698198198198198,0.5519607843137255,0.51924767559606,-0.0122774708410067,-0.2325581395348837,-0.0496497533702468,0.09009009009009,-0.0327131087176655,exp113-BD50-feature-set3-SMOTE,True
mlp_classifier,overall,"{'activation': 'relu', 'alpha': 0.0001, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'random_state': 42, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 200, 'momentum': 0.9, 'early_stopping': True, 'solver': 'adam'}",BD50,63,141,217,23,444,86,358,78,71,287,8,444,86,358,0.225,0.7325581395348837,0.3442622950819672,0.4594594594594595,0.2136986301369863,0.9069767441860463,0.3458980044345898,0.3355855855855856,0.5625506305808707,0.5526558041056798,-0.0113013698630136,0.1744186046511627,0.0016357093526225,-0.1238738738738738,-0.0098948264751909,exp113-BD50-feature-set3-SMOTE,True
mlp_classifier,overall,"{'activation': 'relu', 'learning_rate': 'constant', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'solver': 'sgd', 'momentum': 0.99, 'hidden_layer_sizes': (100,), 'random_state': 42, 'max_iter': 200, 'early_stopping': True}",BD50,68,140,218,18,444,86,358,34,290,68,52,444,86,358,0.2377622377622377,0.7906976744186046,0.3655913978494623,0.4684684684684684,0.3333333333333333,0.3953488372093023,0.3617021276595744,0.7297297297297297,0.5904618889809445,0.6037201969989874,0.0955710955710955,-0.3953488372093023,-0.0038892701898878,0.2612612612612612,0.0132583080180428,exp113-BD50-feature-set3-SMOTE,True
mlp_classifier,overall,"{'activation': 'relu', 'learning_rate': 'constant', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'solver': 'sgd', 'random_state': 42, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 200, 'momentum': 0.9, 'early_stopping': True}",BD50,86,0,358,0,444,86,358,86,0,358,0,444,86,358,0.1936936936936936,1.0,0.3245283018867924,0.1936936936936936,0.1936936936936936,1.0,0.3245283018867924,0.1936936936936936,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp113-BD50-feature-set3-SMOTE,True
bayes_network,overall,{'var_smoothing': 1e-09},BD50,58,168,190,28,444,86,358,55,172,186,31,444,86,358,0.2338709677419354,0.6744186046511628,0.3473053892215569,0.509009009009009,0.2282157676348547,0.6395348837209303,0.3363914373088685,0.5112612612612613,0.5716250115069502,0.5595335082389764,-0.0056552001070807,-0.0348837209302325,-0.0109139519126884,0.0022522522522522,-0.0120915032679738,exp113-BD50-feature-set3-SMOTE,True
bayes_network,overall,{'var_smoothing': 1e-05},BD50,58,166,192,28,444,86,358,55,171,187,31,444,86,358,0.232,0.6744186046511628,0.3452380952380953,0.5045045045045045,0.2272727272727272,0.6395348837209303,0.3353658536585366,0.509009009009009,0.5688472337291725,0.5584909785510448,-0.0047272727272727,-0.0348837209302325,-0.0098722415795586,0.0045045045045045,-0.0103562551781276,exp113-BD50-feature-set3-SMOTE,True
