model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'degree': 2, 'C': 10, 'kernel': 'poly', 'random_state': 42}",ABU50,134,108,113,89,444,223,221,136,114,107,87,444,223,221,0.5425101214574899,0.600896860986547,0.5702127659574469,0.545045045045045,0.5596707818930041,0.6098654708520179,0.5836909871244635,0.5630630630630631,0.5442424242424242,0.5627272727272727,0.0171606604355142,0.0089686098654708,0.0134782211670166,0.018018018018018,0.0184848484848485,exp81-ABU50-feature-set1-SMOTE,True
SVC,overall,"{'degree': 3, 'C': 10, 'kernel': 'poly', 'random_state': 42}",ABU50,109,131,90,114,444,223,221,130,100,121,93,444,223,221,0.5477386934673367,0.4887892376681614,0.5165876777251185,0.5405405405405406,0.5179282868525896,0.5829596412556054,0.5485232067510549,0.5180180180180181,0.5404545454545454,0.5176767676767676,-0.029810406614747,0.0941704035874439,0.0319355290259364,-0.0225225225225225,-0.0227777777777777,exp81-ABU50-feature-set1-SMOTE,True
SVC,overall,"{'degree': 2, 'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",ABU50,151,78,143,72,444,223,221,151,77,144,72,444,223,221,0.5136054421768708,0.6771300448430493,0.5841392649903288,0.5157657657657657,0.511864406779661,0.6771300448430493,0.583011583011583,0.5135135135135135,0.5154040404040403,0.5131313131313131,-0.0017410353972097,0.0,-0.0011276819787457,-0.0022522522522522,-0.0022727272727272,exp81-ABU50-feature-set1-SMOTE,True
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",ABU50,127,134,87,96,444,223,221,130,130,91,93,444,223,221,0.5934579439252337,0.5695067264573991,0.5812356979405034,0.5878378378378378,0.5882352941176471,0.5829596412556054,0.5855855855855856,0.5855855855855856,0.5874242424242425,0.5851515151515152,-0.0052226498075865,0.0134529147982063,0.0043498876450821,-0.0022522522522522,-0.0022727272727273,exp81-ABU50-feature-set1-SMOTE,True
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 15}",ABU50,152,109,112,71,444,223,221,154,108,113,69,444,223,221,0.5757575757575758,0.6816143497757847,0.624229979466119,0.5878378378378378,0.5767790262172284,0.6905829596412556,0.6285714285714287,0.5900900900900901,0.5869696969696969,0.5891919191919192,0.0010214504596526,0.0089686098654708,0.0043414491053096,0.0022522522522522,0.0022222222222222,exp81-ABU50-feature-set1-SMOTE,True
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'euclidean'}",ABU50,139,119,102,84,444,223,221,139,121,100,84,444,223,221,0.5767634854771784,0.6233183856502242,0.5991379310344828,0.581081081081081,0.5815899581589958,0.6233183856502242,0.6017316017316018,0.5855855855855856,0.5808585858585857,0.5854040404040404,0.0048264726818174,0.0,0.002593670697119,0.0045045045045045,0.0045454545454546,exp81-ABU50-feature-set1-SMOTE,True
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 3}",ABU50,121,127,94,102,444,223,221,121,127,94,102,444,223,221,0.5627906976744186,0.5426008968609866,0.5525114155251142,0.5585585585585585,0.5627906976744186,0.5426008968609866,0.5525114155251142,0.5585585585585585,0.558888888888889,0.558888888888889,0.0,0.0,0.0,0.0,0.0,exp81-ABU50-feature-set1-SMOTE,True
knn_classifier,overall,"{'metric': 'manhattan', 'weights': 'uniform', 'n_neighbors': 9}",ABU50,143,118,103,80,444,223,221,144,119,102,79,444,223,221,0.5813008130081301,0.6412556053811659,0.6098081023454157,0.5878378378378378,0.5853658536585366,0.6457399103139013,0.6140724946695095,0.5923423423423423,0.5878282828282827,0.5923232323232323,0.0040650406504064,0.0044843049327354,0.0042643923240938,0.0045045045045044,0.0044949494949495,exp81-ABU50-feature-set1-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 11, 'metric': 'manhattan', 'weights': 'uniform'}",ABU50,135,125,96,88,444,223,221,139,121,100,84,444,223,221,0.5844155844155844,0.6053811659192825,0.5947136563876652,0.5855855855855856,0.5815899581589958,0.6233183856502242,0.6017316017316018,0.5855855855855856,0.5853535353535354,0.5854040404040404,-0.0028256262565885,0.0179372197309417,0.0070179453439366,0.0,5.050505050496757e-05,exp81-ABU50-feature-set1-SMOTE,True
logistic_regression,overall,"{'random_state': 42, 'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",ABU50,142,133,88,81,444,223,221,144,126,95,79,444,223,221,0.6173913043478261,0.6367713004484304,0.6269315673289182,0.6193693693693694,0.602510460251046,0.6457399103139013,0.6233766233766235,0.6081081081081081,0.6194949494949495,0.6084343434343434,-0.01488084409678,0.0089686098654708,-0.0035549439522947,-0.0112612612612612,-0.0110606060606061,exp81-ABU50-feature-set1-SMOTE,True
