model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'random_state': 42}",PBU,202,62,73,107,444,309,135,202,62,73,107,444,309,135,0.7345454545454545,0.6537216828478964,0.6917808219178082,0.5945945945945946,0.7345454545454545,0.6537216828478964,0.6917808219178082,0.5945945945945946,0.5564143995926123,0.5564143995926123,0.0,0.0,0.0,0.0,0.0,exp73-PBU-feature-set3-SMOTE,True
SVC,overall,"{'C': 0.1, 'kernel': 'poly', 'degree': 2, 'random_state': 42}",PBU,231,51,84,78,444,309,135,241,50,85,68,444,309,135,0.7333333333333333,0.7475728155339806,0.7403846153846153,0.6351351351351351,0.7392638036809815,0.7799352750809061,0.7590551181102362,0.6554054054054054,0.5625271755097244,0.5749525040640852,0.0059304703476482,0.0323624595469255,0.0186705027256208,0.0202702702702702,0.0124253285543607,exp73-PBU-feature-set3-SMOTE,True
SVC,overall,"{'kernel': 'poly', 'C': 1, 'degree': 3, 'random_state': 42}",PBU,212,56,79,97,444,309,135,218,55,80,91,444,309,135,0.7285223367697594,0.686084142394822,0.7066666666666667,0.6036036036036037,0.7315436241610739,0.7055016181229773,0.7182866556836903,0.6148648648648649,0.5504005327379203,0.5563742483890554,0.0030212873913144,0.0194174757281553,0.0116199890170236,0.0112612612612612,0.005973715651135,exp73-PBU-feature-set3-SMOTE,True
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",PBU,186,60,75,123,444,309,135,185,60,75,124,444,309,135,0.7126436781609196,0.6019417475728155,0.6526315789473683,0.5540540540540541,0.7115384615384616,0.598705501618123,0.6502636203866432,0.5518018018018018,0.5233591867912333,0.5217462835654268,-0.0011052166224579,-0.0032362459546925,-0.0023679585607251,-0.0022522522522522,-0.0016129032258064,exp73-PBU-feature-set3-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 15, 'metric': 'manhattan', 'weights': 'uniform'}",PBU,161,71,64,148,444,309,135,163,71,64,146,444,309,135,0.7155555555555555,0.5210355987055016,0.6029962546816481,0.5225225225225225,0.7180616740088106,0.5275080906148867,0.6082089552238805,0.527027027027027,0.5235129365219265,0.5267387429735394,0.0025061184532551,0.006472491909385,0.0052127005422324,0.0045045045045044,0.0032258064516128,exp73-PBU-feature-set3-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 11, 'metric': 'euclidean', 'weights': 'uniform'}",PBU,169,68,67,140,444,309,135,168,68,67,141,444,309,135,0.7161016949152542,0.5469255663430421,0.620183486238532,0.5337837837837838,0.7148936170212766,0.5436893203883495,0.6176470588235295,0.5315315315315315,0.5253314922537556,0.5237185890279492,-0.0012080778939775,-0.0032362459546926,-0.0025364274150024,-0.0022522522522522,-0.0016129032258064,exp73-PBU-feature-set3-SMOTE,True
logistic_regression,overall,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'random_state': 42}",PBU,182,84,51,127,444,309,135,182,84,51,127,444,309,135,0.7811158798283262,0.5889967637540453,0.6715867158671586,0.5990990990990991,0.7811158798283262,0.5889967637540453,0.6715867158671586,0.5990990990990991,0.6055849344849875,0.6055849344849875,0.0,0.0,0.0,0.0,0.0,exp73-PBU-feature-set3-SMOTE,True
logistic_regression,overall,"{'C': 5, 'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42}",PBU,189,81,54,120,444,309,135,189,79,56,120,444,309,135,0.7777777777777778,0.6116504854368932,0.6847826086956521,0.6081081081081081,0.7714285714285715,0.6116504854368932,0.6823104693140793,0.6036036036036037,0.6058699101004759,0.5984889437295571,-0.0063492063492063,0.0,-0.0024721393815727,-0.0045045045045044,-0.0073809663709187,exp73-PBU-feature-set3-SMOTE,True
logistic_regression,overall,"{'C': 0.1, 'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42}",PBU,180,81,54,129,444,309,135,183,82,53,126,444,309,135,0.7692307692307693,0.5825242718446602,0.6629834254143646,0.5878378378378378,0.7754237288135594,0.5922330097087378,0.6715596330275229,0.5968468468468469,0.5912744579587521,0.5997904303033864,0.00619295958279,0.0097087378640776,0.0085762076131582,0.009009009009009,0.0085159723446343,exp73-PBU-feature-set3-SMOTE,True
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 20, 'random_state': 42}",PBU,190,78,57,119,444,309,135,186,76,59,123,444,309,135,0.7692307692307693,0.6148867313915858,0.683453237410072,0.6036036036036037,0.7591836734693878,0.6019417475728155,0.6714801444043321,0.5900900900900901,0.5963452611786827,0.5824862408680495,-0.0100470957613815,-0.0129449838187702,-0.0119730930057398,-0.0135135135135135,-0.0138590203106332,exp73-PBU-feature-set3-SMOTE,True
logistic_regression,overall,"{'C': 5, 'penalty': 'l1', 'solver': 'liblinear', 'random_state': 42}",PBU,190,81,54,119,444,309,135,186,80,55,123,444,309,135,0.7786885245901639,0.6148867313915858,0.6871609403254972,0.6103603603603603,0.7717842323651453,0.6019417475728155,0.6763636363636363,0.5990990990990991,0.6074828133262824,0.5973539377558414,-0.0069042922250186,-0.0129449838187702,-0.0107973039618609,-0.0112612612612612,-0.0101288755704409,exp73-PBU-feature-set3-SMOTE,True
logistic_regression,overall,"{'penalty': 'l1', 'C': 100000000.0, 'solver': 'liblinear', 'random_state': 42}",PBU,189,79,56,120,444,309,135,186,76,59,123,444,309,135,0.7714285714285715,0.6116504854368932,0.6823104693140793,0.6036036036036037,0.7591836734693878,0.6019417475728155,0.6714801444043321,0.5900900900900901,0.5984360616565799,0.5824862408680495,-0.0122448979591837,-0.0097087378640776,-0.0108303249097472,-0.0135135135135135,-0.0159498207885304,exp73-PBU-feature-set3-SMOTE,True
