model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-09},ABU50,85,119,48,91,343,176,167,99,108,59,77,343,176,167,0.6390977443609023,0.4829545454545454,0.5501618122977346,0.5947521865889213,0.6265822784810127,0.5625,0.592814371257485,0.6034985422740525,0.597717511246923,0.6046613190730838,-0.0125154658798896,0.0795454545454545,0.0426525589597504,0.0087463556851312,0.0069438078261608,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
bayes_network,overall,{'var_smoothing': 1e-05},ABU50,85,119,48,91,343,176,167,99,108,59,77,343,176,167,0.6390977443609023,0.4829545454545454,0.5501618122977346,0.5947521865889213,0.6265822784810127,0.5625,0.592814371257485,0.6034985422740525,0.597717511246923,0.6046613190730838,-0.0125154658798896,0.0795454545454545,0.0426525589597504,0.0087463556851312,0.0069438078261608,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 0.01}",ABU50,135,67,100,41,343,176,167,134,74,93,42,343,176,167,0.574468085106383,0.7670454545454546,0.6569343065693432,0.5889212827988338,0.5903083700440529,0.7613636363636364,0.6650124069478909,0.6064139941690962,0.5841257108904168,0.6017579152873271,0.0158402849376698,-0.0056818181818182,0.0080781003785477,0.0174927113702624,0.0176322043969103,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
logistic_regression,overall,"{'random_state': 1699304546, 'penalty': 'l1', 'solver': 'saga', 'C': 0.01}",ABU50,176,0,167,0,343,176,167,140,33,134,36,343,176,167,0.5131195335276968,1.0,0.6782273603082851,0.5131195335276968,0.5109489051094891,0.7954545454545454,0.6222222222222222,0.5043731778425656,0.5,0.5,-0.0021706284182076,-0.2045454545454545,-0.0560051380860628,-0.0087463556851311,0.0,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",ABU50,94,97,70,82,343,176,167,99,102,65,77,343,176,167,0.573170731707317,0.5340909090909091,0.5529411764705883,0.5568513119533528,0.6036585365853658,0.5625,0.5823529411764706,0.5860058309037901,0.5574573465749937,0.586696799932094,0.0304878048780488,0.0284090909090909,0.0294117647058823,0.0291545189504373,0.0292394533571003,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'manhattan'}",ABU50,99,102,65,77,343,176,167,101,98,69,75,343,176,167,0.6036585365853658,0.5625,0.5823529411764706,0.5860058309037901,0.5941176470588235,0.5738636363636364,0.5838150289017341,0.5801749271137027,0.5867761650114591,0.5798637636872931,-0.0095408895265423,0.0113636363636363,0.0014620877252634,-0.0058309037900874,-0.006912401324166,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 11, 'metric': 'manhattan'}",ABU50,99,103,64,77,343,176,167,96,95,72,80,343,176,167,0.6073619631901841,0.5625,0.584070796460177,0.5889212827988338,0.5714285714285714,0.5454545454545454,0.5581395348837208,0.5568513119533528,0.5899151175621764,0.5568436465495289,-0.0359333917616127,-0.0170454545454545,-0.0259312615764562,-0.032069970845481,-0.0330714710126475,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 3}",ABU50,108,92,75,68,343,176,167,107,85,82,69,343,176,167,0.5901639344262295,0.6136363636363636,0.6016713091922006,0.5830903790087464,0.5661375661375662,0.6079545454545454,0.5863013698630137,0.5597667638483965,0.5823155929038282,0.5584941855530092,-0.0240263682886633,-0.0056818181818182,-0.0153699393291868,-0.0233236151603498,-0.0238214073508189,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 5}",ABU50,110,93,74,66,343,176,167,99,91,76,77,343,176,167,0.5978260869565217,0.625,0.611111111111111,0.5918367346938775,0.5657142857142857,0.5625,0.5641025641025641,0.5539358600583091,0.591387403446227,0.5533829895594602,-0.032111801242236,-0.0625,-0.0470085470085469,-0.0379008746355684,-0.0380044138867667,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
knn_classifier,overall,"{'n_neighbors': 7, 'metric': 'euclidean', 'weights': 'distance'}",ABU50,98,94,73,78,343,176,167,101,94,73,75,343,176,167,0.5730994152046783,0.5568181818181818,0.5648414985590778,0.5597667638483965,0.5804597701149425,0.5738636363636364,0.5771428571428571,0.5685131195335277,0.5598047703930057,0.56826754944402,0.0073603549102642,0.0170454545454545,0.0123013585837792,0.0087463556851311,0.0084627790510143,exp41-ABU50-feature-set2-NO-SMOTE,False,warnings_checker_framework,set2
