model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-05},PBU,177,34,64,69,344,246,98,178,34,64,68,344,246,98,0.7344398340248963,0.7195121951219512,0.7268993839835729,0.6133720930232558,0.7355371900826446,0.7235772357723578,0.7295081967213114,0.6162790697674418,0.5328721804511278,0.5349129967776584,0.0010973560577483,0.0040650406504065,0.0026088127377384,0.002906976744186,0.0020408163265305,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
logistic_regression,overall,"{'random_state': 1699304546, 'penalty': 'l1', 'solver': 'saga', 'C': 100000000.0}",PBU,240,1,97,6,344,246,98,240,1,97,6,344,246,98,0.712166172106825,0.975609756097561,0.8233276157804459,0.7005813953488372,0.712166172106825,0.975609756097561,0.8233276157804459,0.7005813953488372,0.4930182599355531,0.4930182599355531,0.0,0.0,0.0,0.0,0.0,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 15}",PBU,233,6,92,13,344,246,98,233,6,92,13,344,246,98,0.7169230769230769,0.9471544715447154,0.8161120840630474,0.6947674418604651,0.7169230769230769,0.9471544715447154,0.8161120840630474,0.6947674418604651,0.5037733619763695,0.5037733619763695,0.0,0.0,0.0,0.0,0.0,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
knn_classifier,overall,"{'n_neighbors': 13, 'metric': 'euclidean', 'weights': 'uniform'}",PBU,228,6,92,18,344,246,98,228,6,92,18,344,246,98,0.7125,0.926829268292683,0.8056537102473498,0.6802325581395349,0.7125,0.926829268292683,0.8056537102473498,0.6802325581395349,0.4933061224489796,0.4933061224489796,0.0,0.0,0.0,0.0,0.0,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
knn_classifier,overall,"{'n_neighbors': 13, 'weights': 'uniform', 'metric': 'manhattan'}",PBU,222,12,86,24,344,246,98,222,13,85,24,344,246,98,0.7207792207792207,0.902439024390244,0.8014440433212996,0.6802325581395349,0.7231270358306189,0.902439024390244,0.8028933092224231,0.6831395348837209,0.5117099892588615,0.5169731471535983,0.0023478150513981,0.0,0.0014492659011234,0.002906976744186,0.0052631578947368,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 15, 'metric': 'manhattan'}",PBU,221,10,88,25,344,246,98,221,10,88,25,344,246,98,0.7152103559870551,0.8983739837398373,0.7963963963963964,0.6715116279069767,0.7152103559870551,0.8983739837398373,0.7963963963963964,0.6715116279069767,0.4996691729323307,0.4996691729323307,0.0,0.0,0.0,0.0,0.0,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
SVC,overall,"{'C': 0.1, 'random_state': 1699304546, 'kernel': 'rbf', 'degree': 2}",PBU,246,0,98,0,344,246,98,246,0,98,0,344,246,98,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.7151162790697675,1.0,0.8338983050847458,0.7151162790697675,0.5,0.5,0.0,0.0,0.0,0.0,0.0,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
SVC,overall,"{'degree': 2, 'kernel': 'sigmoid', 'C': 1, 'random_state': 1699304546}",PBU,220,12,86,26,344,246,98,225,4,94,21,344,246,98,0.7189542483660131,0.8943089430894309,0.7971014492753623,0.6744186046511628,0.7053291536050157,0.9146341463414634,0.7964601769911505,0.6656976744186046,0.5094704618689582,0.4775692803437164,-0.0136250947609973,0.0203252032520325,-0.0006412722842118,-0.0087209302325581,-0.0319011815252417,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
mlp_classifier,overall,"{'solver': 'adam', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'momentum': 0.9, 'alpha': 0.0001, 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",PBU,237,3,95,9,344,246,98,245,0,98,1,344,246,98,0.713855421686747,0.9634146341463414,0.820069204152249,0.6976744186046512,0.7142857142857143,0.9959349593495936,0.831918505942275,0.7122093023255814,0.4966326530612244,0.4979591836734694,0.0004302925989673,0.0325203252032521,0.0118493017900259,0.0145348837209302,0.0013265306122449,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
mlp_classifier,overall,"{'momentum': 0.9, 'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",PBU,238,3,95,8,344,246,98,239,3,95,7,344,246,98,0.7147147147147147,0.967479674796748,0.8221070811744388,0.7005813953488372,0.7155688622754491,0.9715447154471544,0.8241379310344827,0.7034883720930233,0.4991997851772288,0.5007142857142857,0.0008541475607344,0.0040650406504064,0.0020308498600439,0.002906976744186,0.0015145005370568,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
mlp_classifier,overall,"{'hidden_layer_sizes': (50, 50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'solver': 'sgd', 'max_iter': 200, 'learning_rate': 'constant', 'momentum': 0.95, 'random_state': 1699304546, 'activation': 'relu', 'early_stopping': True}",PBU,241,4,94,5,344,246,98,241,5,93,5,344,246,98,0.7194029850746269,0.9796747967479674,0.8296041308089501,0.7122093023255814,0.7215568862275449,0.9796747967479674,0.8310344827586207,0.7151162790697675,0.509795918367347,0.515626208378088,0.002153901152918,0.0,0.0014303519496705,0.002906976744186,0.005830290010741,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
randomForest_classifier,overall,"{'max_features': 'log2', 'bootstrap': False, 'min_samples_leaf': 4, 'min_samples_split': 15, 'random_state': 1699304546, 'n_estimators': 50, 'max_depth': 5}",PBU,224,9,89,22,344,246,98,227,8,90,19,344,246,98,0.7156549520766773,0.9105691056910568,0.8014311270125223,0.6773255813953488,0.7160883280757098,0.9227642276422764,0.8063943161634102,0.6831395348837209,0.5006917293233082,0.5017325456498389,0.0004333759990324,0.0121951219512195,0.0049631891508878,0.0058139534883721,0.0010408163265307,exp91-PBU-feature-set4-NO-SMOTE,False,warnings_checker_framework,set4
